poll;vote
24;yes
24;yes
24;yes
24;no
24;no
24;no
24;yes
24;yes
24;yes
24;yes
24;no
24;yes
24;yes
24;yes
24;no
24;yes
24;yes
24;no
24;yes
24;yes
24;no
24;yes
24;no
24;yes
24;yes
24;yes
24;yes
24;yes
24;no
25;no
25;no
25;no
25;no
25;no
25;yes
25;no
25;no
25;no
25;no
25;no
25;no
25;yes
25;yes
25;no
25;no
25;no
25;yes
25;yes
25;yes
25;yes
25;no
25;yes
25;yes
25;yes
25;no
25;yes
25;yes
25;yes
25;yes
26;yes
26;yes
26;no
26;yes
26;no
26;yes
26;yes
26;yes
26;yes
26;yes
26;no
26;yes
26;yes
26;no
26;yes
26;no
26;yes
26;no
26;no
26;yes
26;no
26;yes
26;yes
26;yes
26;yes
26;yes
26;no
26;yes
26;no
26;yes
27;yes
27;no
27;yes
27;yes
27;no
27;no
27;yes
27;no
27;yes
27;yes
27;yes
27;yes
27;no
27;yes
27;yes
27;yes
27;yes
27;no
27;no
27;yes
27;yes
27;no
27;no
27;no
27;no
27;no
27;no
27;yes
27;yes
27;no
28;yes
28;yes
28;no
28;yes
28;no
28;no
28;yes
28;yes
28;yes
28;no
28;yes
28;no
28;yes
28;yes
28;no
28;yes
28;yes
28;yes
28;yes
28;yes
28;yes
28;yes
28;yes
28;no
28;yes
28;no
28;yes
28;yes
28;yes
28;yes
29;yes
29;yes
29;no
29;yes
29;yes
29;yes
29;yes
29;yes
29;no
29;no
29;yes
29;yes
29;yes
29;no
29;yes
29;no
29;no
29;yes
29;no
29;no
29;yes
29;no
29;yes
29;yes
29;yes
29;no
29;yes
29;yes
29;yes
29;yes
30;yes
30;no
30;yes
30;yes
30;yes
30;no
30;yes
30;no
30;no
30;no
30;yes
30;yes
30;no
30;no
30;yes
30;yes
30;no
30;yes
30;yes
30;yes
30;no
30;yes
30;no
30;yes
30;no
30;no
30;no
30;yes
30;no
30;yes
31;yes
31;yes
31;no
31;yes
31;no
31;no
31;yes
31;no
31;yes
31;yes
31;yes
31;no
31;yes
31;no
31;yes
31;no
31;yes
31;yes
31;yes
31;yes
31;no
31;yes
31;no
31;yes
31;yes
31;yes
31;no
31;no
31;yes
31;yes
32;yes
32;no
32;no
32;yes
32;no
32;no
32;no
32;yes
32;yes
32;yes
32;yes
32;yes
32;yes
32;no
32;yes
32;no
32;yes
32;no
32;no
32;no
32;no
32;yes
32;yes
32;no
32;no
32;no
32;no
32;no
32;yes
32;no
33;yes
33;yes
33;yes
33;yes
33;yes
33;yes
33;no
33;yes
33;yes
33;yes
33;no
33;yes
33;no
33;yes
33;yes
33;yes
33;no
33;yes
33;yes
33;no
33;yes
33;yes
33;yes
33;no
33;no
33;no
33;no
33;yes
33;no
33;no
34;no
34;no
34;no
34;yes
34;yes
34;no
34;no
34;yes
34;no
34;yes
34;no
34;no
34;no
34;yes
34;yes
34;yes
34;yes
34;yes
34;no
34;no
34;no
34;yes
34;no
34;no
34;yes
34;yes
34;yes
34;no
34;no
34;yes
35;yes
35;yes
35;yes
35;yes
35;no
35;no
35;no
35;yes
35;no
35;yes
35;yes
35;no
35;yes
35;yes
35;yes
35;no
35;yes
35;yes
35;no
35;no
35;yes
35;yes
35;yes
35;yes
35;no
35;yes
35;yes
35;yes
35;yes
35;yes
36;yes
36;yes
36;yes
36;no
36;yes
36;yes
36;yes
36;yes
36;yes
36;yes
36;yes
36;yes
36;no
36;yes
36;yes
36;no
36;yes
36;yes
36;yes
36;yes
36;no
36;yes
36;yes
36;yes
36;yes
36;yes
36;no
36;yes
36;yes
36;yes
37;yes
37;yes
37;no
37;no
37;yes
37;yes
37;yes
37;no
37;yes
37;yes
37;yes
37;no
37;yes
37;yes
37;yes
37;yes
37;no
37;yes
37;yes
37;yes
37;yes
37;no
37;no
37;yes
37;no
37;yes
37;yes
37;yes
37;yes
37;yes
38;no
38;yes
38;no
38;yes
38;yes
38;yes
38;no
38;no
38;yes
38;yes
38;no
38;no
38;yes
38;no
38;no
38;yes
38;yes
38;no
38;yes
38;no
38;no
38;yes
38;no
38;yes
38;no
38;yes
38;no
38;no
38;yes
38;yes
39;no
39;yes
39;yes
39;yes
39;yes
39;no
39;no
39;no
39;no
39;yes
39;no
39;no
39;no
39;yes
39;no
39;yes
39;yes
39;yes
39;yes
39;yes
39;yes
39;yes
39;no
39;no
39;no
39;yes
39;no
39;no
39;yes
39;yes
40;no
40;yes
40;yes
40;yes
40;yes
40;yes
40;no
40;no
40;no
40;no
40;yes
40;no
40;yes
40;yes
40;yes
40;yes
40;yes
40;yes
40;no
40;yes
40;yes
40;no
40;yes
40;no
40;yes
40;yes
40;no
40;yes
40;yes
40;yes
41;yes
41;yes
41;no
41;yes
41;yes
41;yes
41;no
41;yes
41;no
41;yes
41;no
41;yes
41;yes
41;yes
41;no
41;no
41;yes
41;yes
41;yes
41;yes
41;yes
41;yes
41;yes
41;yes
41;yes
41;yes
41;yes
41;no
41;no
41;no
42;yes
42;no
42;no
42;yes
42;no
42;yes
42;no
42;no
42;yes
42;yes
42;no
42;no
42;no
42;yes
42;yes
42;no
42;no
42;no
42;yes
42;no
42;yes
42;yes
42;no
42;yes
42;yes
42;yes
42;no
42;no
42;no
42;yes
43;yes
43;yes
43;yes
43;yes
43;no
43;no
43;yes
43;no
43;no
43;yes
43;no
43;no
43;yes
43;yes
43;yes
43;yes
43;no
43;no
43;yes
43;yes
43;yes
43;yes
43;yes
43;yes
43;no
43;no
43;yes
43;no
43;yes
43;no
44;yes
44;yes
44;no
44;yes
44;yes
44;no
44;yes
44;yes
44;yes
44;yes
44;no
44;yes
44;no
44;no
44;yes
44;yes
44;yes
44;no
44;no
44;no
44;yes
44;no
44;yes
44;yes
44;yes
44;yes
44;no
44;yes
44;yes
44;yes
45;yes
45;yes
45;no
45;no
45;yes
45;no
45;no
45;yes
45;yes
45;no
45;yes
45;yes
45;yes
45;yes
45;no
45;no
45;no
45;yes
45;yes
45;yes
45;yes
45;no
45;yes
45;yes
45;yes
45;yes
45;no
45;no
45;yes
45;no
46;no
46;yes
46;no
46;no
46;yes
46;yes
46;no
46;yes
46;no
46;yes
46;yes
46;yes
46;no
46;no
46;no
46;no
46;yes
46;no
46;no
46;yes
46;no
46;no
46;no
46;yes
46;no
46;yes
46;yes
46;yes
46;yes
46;no
47;yes
47;no
47;no
47;yes
47;yes
47;no
47;no
47;no
47;yes
47;yes
47;yes
47;yes
47;no
47;no
47;yes
47;no
47;no
47;yes
47;yes
47;yes
47;no
47;yes
47;no
47;yes
47;yes
47;yes
47;no
47;yes
47;no
47;yes
48;yes
48;yes
48;yes
48;no
48;yes
48;yes
48;yes
48;yes
48;no
48;yes
48;yes
48;yes
48;yes
48;yes
48;no
48;no
48;no
48;no
48;yes
48;yes
48;yes
48;yes
48;no
48;no
48;no
48;yes
48;no
48;yes
48;yes
48;no
49;no
49;yes
49;no
49;no
49;yes
49;yes
49;yes
49;yes
49;no
49;yes
49;yes
49;no
49;yes
49;yes
49;yes
49;yes
49;no
49;no
49;yes
49;yes
49;no
49;yes
49;yes
49;yes
49;yes
49;yes
49;no
49;no
49;no
49;yes
50;yes
50;no
50;no
50;no
50;yes
50;yes
50;no
50;no
50;yes
50;yes
50;yes
50;yes
50;no
50;no
50;yes
50;yes
50;no
50;yes
50;no
50;no
50;yes
50;no
50;yes
50;yes
50;no
50;yes
50;no
50;yes
50;no
50;yes
51;no
51;yes
51;no
51;no
51;yes
51;no
51;yes
51;yes
51;no
51;no
51;yes
51;no
51;yes
51;no
51;yes
51;yes
51;yes
51;yes
51;yes
51;yes
51;yes
51;yes
51;no
51;yes
51;yes
51;no
51;yes
51;yes
51;yes
51;yes
52;yes
52;yes
52;no
52;yes
52;yes
52;no
52;yes
52;no
52;no
52;yes
52;no
52;yes
52;yes
52;yes
52;yes
52;no
52;yes
52;no
52;yes
52;yes
52;no
52;no
52;no
52;yes
52;yes
52;yes
52;yes
52;yes
52;yes
52;yes
53;yes
53;yes
53;yes
53;yes
53;yes
53;yes
53;no
53;no
53;no
53;yes
53;yes
53;yes
53;yes
53;no
53;yes
53;yes
53;no
53;yes
53;no
53;yes
53;yes
53;yes
53;no
53;yes
53;yes
53;no
53;no
53;yes
53;yes
53;yes
54;no
54;yes
54;no
54;yes
54;no
54;yes
54;yes
54;yes
54;yes
54;no
54;no
54;yes
54;yes
54;yes
54;yes
54;yes
54;no
54;yes
54;yes
54;yes
54;yes
54;no
54;yes
54;no
54;no
54;yes
54;yes
54;yes
54;yes
54;no
55;no
55;yes
55;no
55;no
55;no
55;yes
55;no
55;yes
55;no
55;yes
55;no
55;no
55;no
55;no
55;yes
55;no
55;no
55;yes
55;yes
55;no
55;no
55;no
55;yes
55;yes
55;no
55;yes
55;yes
55;no
55;yes
55;yes
56;yes
56;yes
56;yes
56;yes
56;no
56;yes
56;yes
56;no
56;yes
56;yes
56;no
56;no
56;yes
56;yes
56;yes
56;yes
56;yes
56;yes
56;yes
56;yes
56;yes
56;yes
56;yes
56;yes
56;yes
56;yes
56;no
56;no
56;yes
56;yes
57;yes
57;no
57;no
57;yes
57;no
57;yes
57;no
57;no
57;yes
57;yes
57;yes
57;yes
57;no
57;yes
57;no
57;yes
57;yes
57;no
57;no
57;yes
57;no
57;no
57;yes
57;no
57;yes
57;yes
57;no
57;yes
57;yes
57;yes
58;yes
58;no
58;no
58;yes
58;yes
58;no
58;yes
58;yes
58;yes
58;yes
58;yes
58;no
58;no
58;yes
58;yes
58;yes
58;yes
58;yes
58;no
58;yes
58;yes
58;yes
58;yes
58;yes
58;no
58;no
58;yes
58;no
58;no
58;yes
59;yes
59;no
59;yes
59;yes
59;no
59;no
59;yes
59;no
59;yes
59;yes
59;yes
59;no
59;yes
59;yes
59;yes
59;yes
59;yes
59;yes
59;yes
59;no
59;yes
59;no
59;no
59;no
59;yes
59;yes
59;no
59;yes
59;no
59;no
60;no
60;yes
60;yes
60;yes
60;no
60;yes
60;no
60;no
60;no
60;yes
60;no
60;no
60;yes
60;yes
60;yes
60;no
60;yes
60;no
60;no
60;yes
60;no
60;yes
60;no
60;yes
60;no
60;yes
60;no
60;no
60;no
60;no
61;yes
61;yes
61;yes
61;yes
61;yes
61;yes
61;no
61;no
61;yes
61;yes
61;yes
61;yes
61;no
61;yes
61;yes
61;no
61;yes
61;no
61;yes
61;yes
61;no
61;yes
61;yes
61;no
61;no
61;no
61;yes
61;yes
61;no
61;no
62;yes
62;no
62;no
62;no
62;no
62;no
62;yes
62;yes
62;yes
62;yes
62;yes
62;yes
62;no
62;no
62;no
62;no
62;no
62;yes
62;yes
62;yes
62;no
62;no
62;no
62;yes
62;yes
62;no
62;yes
62;yes
62;yes
62;no
63;yes
63;yes
63;no
63;yes
63;yes
63;no
63;yes
63;no
63;yes
63;yes
63;yes
63;yes
63;yes
63;yes
63;no
63;yes
63;yes
63;no
63;yes
63;no
63;no
63;yes
63;yes
63;no
63;yes
63;yes
63;yes
63;no
63;no
63;no
64;yes
64;yes
64;no
64;yes
64;yes
64;yes
64;yes
64;yes
64;yes
64;yes
64;no
64;no
64;yes
64;no
64;yes
64;yes
64;no
64;yes
64;yes
64;no
64;yes
64;yes
64;yes
64;yes
64;no
64;yes
64;yes
64;yes
64;yes
64;yes
65;yes
65;no
65;yes
65;yes
65;no
65;yes
65;no
65;yes
65;yes
65;no
65;yes
65;yes
65;no
65;yes
65;no
65;no
65;yes
65;no
65;yes
65;no
65;no
65;no
65;no
65;yes
65;no
65;no
65;no
65;no
65;yes
65;no
66;no
66;no
66;no
66;yes
66;no
66;no
66;yes
66;no
66;yes
66;yes
66;yes
66;yes
66;no
66;yes
66;yes
66;yes
66;yes
66;no
66;yes
66;no
66;yes
66;yes
66;yes
66;yes
66;yes
66;yes
66;yes
66;yes
66;no
66;yes
67;yes
67;yes
67;yes
67;no
67;no
67;no
67;no
67;yes
67;yes
67;yes
67;yes
67;no
67;yes
67;no
67;yes
67;yes
67;yes
67;yes
67;no
67;yes
67;no
67;yes
67;yes
67;yes
67;yes
67;yes
67;yes
67;no
67;yes
67;no
68;yes
68;yes
68;no
68;yes
68;yes
68;yes
68;yes
68;yes
68;yes
68;no
68;yes
68;no
68;yes
68;no
68;no
68;no
68;yes
68;no
68;yes
68;yes
68;no
68;no
68;yes
68;yes
68;yes
68;yes
68;yes
68;yes
68;yes
68;no
69;yes
69;yes
69;no
69;no
69;no
69;yes
69;yes
69;no
69;no
69;yes
69;no
69;no
69;yes
69;yes
69;no
69;no
69;yes
69;yes
69;yes
69;no
69;no
69;yes
69;yes
69;no
69;yes
69;yes
69;yes
69;yes
69;yes
69;no
70;yes
70;no
70;yes
70;no
70;yes
70;yes
70;yes
70;yes
70;yes
70;yes
70;yes
70;no
70;yes
70;yes
70;yes
70;no
70;yes
70;yes
70;no
70;yes
70;no
70;no
70;yes
70;no
70;yes
70;yes
70;yes
70;yes
70;yes
70;yes
71;no
71;yes
71;yes
71;yes
71;yes
71;no
71;no
71;yes
71;yes
71;yes
71;no
71;no
71;yes
71;yes
71;yes
71;yes
71;yes
71;no
71;yes
71;no
71;no
71;no
71;yes
71;yes
71;yes
71;no
71;yes
71;no
71;yes
71;no
72;no
72;yes
72;yes
72;yes
72;no
72;yes
72;yes
72;no
72;yes
72;yes
72;no
72;yes
72;yes
72;yes
72;yes
72;yes
72;yes
72;no
72;yes
72;yes
72;yes
72;no
72;no
72;yes
72;yes
72;yes
72;no
72;no
72;yes
72;no
73;yes
73;yes
73;yes
73;yes
73;no
73;yes
73;yes
73;yes
73;yes
73;yes
73;yes
73;yes
73;yes
73;no
73;yes
73;yes
73;yes
73;yes
73;yes
73;yes
73;yes
73;no
73;yes
73;no
73;yes
73;no
73;no
73;yes
73;yes
73;yes
74;yes
74;yes
74;yes
74;no
74;yes
74;yes
74;no
74;yes
74;yes
74;yes
74;yes
74;yes
74;yes
74;yes
74;yes
74;no
74;yes
74;no
74;no
74;yes
74;yes
74;yes
74;no
74;no
74;yes
74;no
74;no
74;yes
74;no
74;yes
75;yes
75;no
75;no
75;yes
75;yes
75;no
75;yes
75;no
75;yes
75;no
75;no
75;no
75;no
75;yes
75;yes
75;yes
75;yes
75;yes
75;yes
75;yes
75;yes
75;yes
75;no
75;yes
75;no
75;yes
75;yes
75;no
75;no
75;yes
76;yes
76;no
76;no
76;yes
76;yes
76;no
76;yes
76;yes
76;yes
76;yes
76;no
76;yes
76;yes
76;no
76;yes
76;yes
76;yes
76;yes
76;no
76;yes
76;no
76;yes
76;no
76;no
76;yes
76;no
76;yes
76;yes
76;no
76;yes
77;no
77;no
77;no
77;yes
77;yes
77;yes
77;yes
77;yes
77;yes
77;yes
77;yes
77;yes
77;yes
77;yes
77;yes
77;yes
77;yes
77;yes
77;no
77;no
77;yes
77;yes
77;yes
77;no
77;yes
77;no
77;yes
77;yes
77;yes
77;no
78;yes
78;no
78;no
78;yes
78;no
78;no
78;no
78;yes
78;yes
78;no
78;no
78;yes
78;no
78;no
78;yes
78;no
78;yes
78;no
78;yes
78;yes
78;no
78;yes
78;yes
78;yes
78;yes
78;no
78;yes
78;yes
78;no
78;no
79;no
79;no
79;no
79;no
79;yes
79;yes
79;yes
79;yes
79;no
79;no
79;yes
79;yes
79;yes
79;no
79;yes
79;yes
79;no
79;yes
79;yes
79;no
79;no
79;no
79;no
79;yes
79;no
79;no
79;no
79;yes
79;yes
79;yes
80;yes
80;no
80;yes
80;no
80;yes
80;yes
80;yes
80;yes
80;yes
80;no
80;yes
80;no
80;no
80;no
80;yes
80;yes
80;yes
80;yes
80;no
80;no
80;no
80;yes
80;yes
80;yes
80;yes
80;yes
80;yes
80;yes
80;no
80;yes
81;yes
81;no
81;yes
81;yes
81;yes
81;yes
81;yes
81;yes
81;yes
81;yes
81;yes
81;yes
81;yes
81;no
81;no
81;yes
81;yes
81;yes
81;yes
81;yes
81;yes
81;yes
81;yes
81;no
81;yes
81;no
81;yes
81;yes
81;yes
81;no
82;no
82;no
82;yes
82;yes
82;no
82;no
82;no
82;no
82;yes
82;yes
82;yes
82;yes
82;yes
82;no
82;no
82;no
82;yes
82;no
82;no
82;yes
82;yes
82;yes
82;no
82;yes
82;yes
82;no
82;no
82;yes
82;yes
82;no
83;yes
83;yes
83;yes
83;no
83;yes
83;yes
83;no
83;yes
83;no
83;yes
83;yes
83;no
83;no
83;yes
83;no
83;no
83;yes
83;yes
83;yes
83;yes
83;no
83;no
83;no
83;no
83;yes
83;no
83;no
83;no
83;yes
83;yes
84;no
84;yes
84;no
84;yes
84;yes
84;yes
84;yes
84;yes
84;no
84;yes
84;yes
84;yes
84;yes
84;yes
84;yes
84;yes
84;no
84;yes
84;no
84;yes
84;yes
84;yes
84;no
84;yes
84;yes
84;yes
84;no
84;no
84;no
84;no
85;no
85;no
85;yes
85;no
85;no
85;yes
85;no
85;no
85;no
85;yes
85;no
85;no
85;no
85;no
85;yes
85;yes
85;no
85;yes
85;yes
85;no
85;yes
85;yes
85;yes
85;yes
85;yes
85;no
85;no
85;yes
85;no
85;yes
86;no
86;no
86;yes
86;yes
86;no
86;yes
86;no
86;yes
86;yes
86;no
86;yes
86;yes
86;yes
86;no
86;no
86;no
86;no
86;yes
86;yes
86;no
86;yes
86;no
86;yes
86;no
86;yes
86;yes
86;yes
86;no
86;yes
86;no
87;no
87;yes
87;yes
87;yes
87;yes
87;yes
87;no
87;yes
87;yes
87;no
87;no
87;yes
87;yes
87;yes
87;yes
87;yes
87;yes
87;yes
87;yes
87;yes
87;yes
87;yes
87;no
87;no
87;no
87;yes
87;yes
87;yes
87;no
87;no
88;yes
88;no
88;yes
88;yes
88;no
88;no
88;no
88;yes
88;yes
88;yes
88;yes
88;yes
88;yes
88;no
88;no
88;yes
88;no
88;no
88;no
88;no
88;yes
88;yes
88;yes
88;yes
88;yes
88;yes
88;yes
88;yes
88;yes
88;yes
89;no
89;yes
89;yes
89;no
89;yes
89;no
89;no
89;yes
89;no
89;yes
89;yes
89;yes
89;yes
89;yes
89;yes
89;no
89;no
89;no
89;yes
89;yes
89;no
89;yes
89;no
89;yes
89;yes
89;yes
89;yes
89;yes
89;no
89;no
90;yes
90;no
90;yes
90;yes
90;yes
90;no
90;yes
90;no
90;yes
90;yes
90;yes
90;yes
90;no
90;no
90;no
90;yes
90;yes
90;yes
90;yes
90;yes
90;no
90;yes
90;no
90;no
90;yes
90;no
90;yes
90;yes
90;yes
90;no
91;no
91;no
91;no
91;yes
91;yes
91;no
91;yes
91;yes
91;yes
91;no
91;no
91;yes
91;yes
91;no
91;yes
91;yes
91;yes
91;yes
91;yes
91;yes
91;yes
91;yes
91;no
91;no
91;no
91;yes
91;no
91;yes
91;yes
91;yes
92;no
92;no
92;yes
92;yes
92;no
92;yes
92;yes
92;yes
92;yes
92;yes
92;no
92;yes
92;yes
92;yes
92;yes
92;yes
92;yes
92;yes
92;yes
92;no
92;no
92;yes
92;no
92;yes
92;yes
92;yes
92;yes
92;yes
92;yes
92;no
93;yes
93;no
93;no
93;no
93;no
93;yes
93;yes
93;yes
93;yes
93;no
93;no
93;yes
93;yes
93;yes
93;yes
93;no
93;yes
93;no
93;yes
93;no
93;no
93;yes
93;no
93;yes
93;yes
93;yes
93;yes
93;no
93;no
93;yes
94;yes
94;no
94;yes
94;yes
94;yes
94;yes
94;yes
94;no
94;yes
94;yes
94;yes
94;no
94;yes
94;yes
94;yes
94;yes
94;no
94;no
94;yes
94;no
94;yes
94;yes
94;no
94;no
94;no
94;yes
94;no
94;yes
94;yes
94;yes
95;no
95;yes
95;yes
95;yes
95;yes
95;yes
95;no
95;yes
95;yes
95;no
95;yes
95;yes
95;no
95;yes
95;yes
95;yes
95;no
95;no
95;yes
95;yes
95;yes
95;no
95;yes
95;yes
95;yes
95;no
95;yes
95;yes
95;yes
95;yes
96;no
96;no
96;no
96;yes
96;yes
96;no
96;yes
96;yes
96;no
96;yes
96;no
96;yes
96;yes
96;yes
96;yes
96;yes
96;yes
96;no
96;no
96;yes
96;yes
96;no
96;no
96;yes
96;yes
96;no
96;no
96;yes
96;no
96;yes
97;no
97;yes
97;yes
97;yes
97;yes
97;yes
97;no
97;yes
97;yes
97;yes
97;no
97;yes
97;yes
97;yes
97;yes
97;no
97;yes
97;yes
97;yes
97;yes
97;yes
97;yes
97;no
97;no
97;yes
97;yes
97;yes
97;no
97;yes
97;yes
98;no
98;no
98;no
98;yes
98;yes
98;yes
98;yes
98;yes
98;no
98;yes
98;yes
98;yes
98;yes
98;yes
98;yes
98;no
98;no
98;yes
98;yes
98;yes
98;yes
98;yes
98;yes
98;yes
98;yes
98;no
98;no
98;yes
98;yes
98;no
99;yes
99;yes
99;yes
99;yes
99;yes
99;yes
99;yes
99;yes
99;no
99;yes
99;no
99;yes
99;yes
99;yes
99;yes
99;yes
99;yes
99;no
99;yes
99;no
99;no
99;yes
99;yes
99;no
99;no
99;no
99;yes
99;yes
99;yes
99;no
100;yes
100;yes
100;no
100;yes
100;yes
100;yes
100;no
100;yes
100;yes
100;no
100;yes
100;yes
100;yes
100;yes
100;no
100;yes
100;no
100;yes
100;no
100;no
100;no
100;yes
100;yes
100;yes
100;yes
100;yes
100;yes
100;yes
100;yes
100;no
101;no
101;no
101;yes
101;no
101;yes
101;yes
101;yes
101;no
101;yes
101;yes
101;yes
101;yes
101;yes
101;no
101;no
101;no
101;yes
101;no
101;no
101;yes
101;yes
101;yes
101;yes
101;no
101;yes
101;no
101;no
101;yes
101;no
101;yes
102;no
102;no
