id;country;managed_by;fulfill_via;vendor_inco_term;shipment_mode;late_delivery;late;product_group;sub_classification;vendor;item_description;molecule_test_type;brand;dosage;dosage_form;unit_of_measure_per_pack;line_item_quantity;line_item_value;pack_price;unit_price;manufacturing_site;first_line_designation;weight_kilograms;freight_cost_usd;line_item_insurance_usd
78576;Cªte d'Ivoire;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Orgenics, Ltd;HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests;HIV 1/2, Determine HIV Kit, without Lancets;Determine;N/A;Test kit;100;3500;245000,00;70,00;0,70;Inverness Japan;Yes;794;12506,12;528,22
23957;Vietnam;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;HETERO LABS LIMITED;Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs;Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate;Generic;600/300/300mg;Tablet - FDC;30;19200;201600,00;10,50;0,35;Hetero Unit III Hyderabad IN;Yes;2877;4312,92;207,24
47937;Vietnam;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;HETERO LABS LIMITED;Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs;Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate;Generic;600/300/300mg;Tablet - FDC;30;24192;254016,00;10,50;0,35;Hetero Unit III Hyderabad IN;Yes;3385;8764,53;314,22
16232;Haiti;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Pediatric;Aurobindo Pharma Limited;Nevirapine 50mg, dispersible tablets (tablets for oral suspension), 30 Tabs;Nevirapine;Generic;50mg;Chewable/dispersible tablet;30;2894;3617,50;1,25;0,04;Aurobindo Unit III, India;Yes;1486;12749,39;5,07
32402;Ghana;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Pediatric;Aurobindo Pharma Limited;Lamivudine 10mg/ml, oral solution, Bottle, 240 ml;Lamivudine;Generic;10mg/ml;Oral solution;240;1905;2724,15;1,43;0,01;Aurobindo Unit III, India;Yes;786;4304,34;2,80
19263;Tanzania;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Orgenics, Ltd;HIV 1/2, Determine Complete HIV Kit, 100 Tests;HIV 1/2, Determine Complete HIV Kit;Determine;N/A;Test kit;100;1500;120000,00;80,00;0,80;Inverness Japan;Yes;714;13836,99;198,00
1618;Mozambique;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Trinity Biotech, Plc;HIV 1/2, Uni-Gold HIV Kit, 20 Tests;HIV 1/2, Uni-Gold HIV Kit;Uni-Gold;N/A;Test kit;20;9000;288000,00;32,00;1,60;Trinity Biotech, Plc;Yes;9000;55746,59;460,80
20264;Rwanda;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB);HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests;HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody;Colloidal Gold;N/A;Test kit;1;2988;73206,00;24,50;24,50;KHB Test Kit Facility, Shanghai China;Yes;1992;26266,34;90,56
41238;Afghanistan;PMO - US;Direct Drop;EXW;Air;0;No;ANTM;Malaria;IMRES B.V.;Quinine 600mg/2ml (as dihydrochloride), injection, 2ml x 100 Ampules;Quinine (as dihydrochloride);Generic;600mg/2ml;Injection;100;32;800,00;25,00;0,25;Gland Pharma, Hyderabad, IN;Yes;68;555,49;0,94
64021;Botswana;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB);HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests;HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody;Colloidal Gold;N/A;Test kit;1;1600;39200,00;24,50;24,50;KHB Test Kit Facility, Shanghai China;Yes;1111;8542,94;54,96
69925;Kenya;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Standard Diagnostics, Inc.;HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests;HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included;Bioline;N/A;Test kit;25;15304;306080,00;20,00;0,80;Standard Diagnostics, Korea;Yes;5102;33718,08;505,03
17717;Guyana;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;HETERO LABS LIMITED;Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs;Emtricitabine/Tenofovir Disoproxil Fumarate;Generic;200/300mg;Tablet - FDC;30;3715;20766,85;5,59;0,19;Hetero Unit III Hyderabad IN;Yes;385;3248,60;24,44
16496;Tanzania;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;HETERO LABS LIMITED;Zidovudine 300mg, tablets, 60 Tabs;Zidovudine;Generic;300mg;Tablet;60;63200;347600,00;5,50;0,09;Hetero Unit III Hyderabad IN;Yes;4007;23397,41;357,33
62113;Cªte d'Ivoire;PMO - US;Direct Drop;CIP;Air;0;No;ARV;Pediatric;MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.);Efavirenz 30mg/ml [Stocrin/Sustiva], oral solution, Bottle, 180 ml;Efavirenz;Stocrin/Sustiva;30mg/ml;Oral solution;180;5196;88124,16;16,96;0,09;MSD, Haarlem, NL;Yes;1489;2093,31;190,00
23445;Cªte d'Ivoire;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES);Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs;Atazanavir/Ritonavir;Generic;300/100mg;Tablet;30;2100;42000,00;20,00;0,67;Mylan (formerly Matrix) Nashik;Yes;293;3316,79;51,95
75229;Zambia;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Trinity Biotech, Plc;HIV 1/2, Uni-Gold HIV Kit, 20 Tests;HIV 1/2, Uni-Gold HIV Kit;Uni-Gold;N/A;Test kit;20;5000;160000,00;32,00;1,60;Trinity Biotech, Plc;Yes;1647;20626,58;264,00
28673;South Africa;PMO - US;Direct Drop;DDP;Ocean;1;Yes;ARV;Adult;Aurobindo Pharma Limited;Efavirenz 600mg, tablets, 30 Tabs;Efavirenz;Generic;600mg;Tablet;30;119251;508009,26;4,26;0,14;Aurobindo Unit III, India;Yes;9461;7292,27;838,22
70619;Vietnam;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;HETERO LABS LIMITED;Lamivudine 150mg, tablets, 60 Tabs;Lamivudine;Generic;150mg;Tablet;60;27634;58031,40;2,10;0,04;Hetero Unit III Hyderabad IN;Yes;1616;3147,88;81,36
50758;Tanzania;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Standard Diagnostics, Inc.;HIV 1/2, Bioline 3.0 Kit, (no accessories), 30 Tests;HIV 1/2, Bioline 3.0 Kit (no accessories);Bioline;N/A;Test kit;30;11990;287760,00;24,00;0,80;Standard Diagnostics, Korea;Yes;3997;28620,81;564,01
38192;Nigeria;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Orgenics, Ltd;HIV 1/2, Determine Complete HIV Kit, 100 Tests;HIV 1/2, Determine Complete HIV Kit;Determine;N/A;Test kit;100;2744;244216,00;89,00;0,89;Alere Medical Co., Ltd.;Yes;1186;24927,19;342,39
23283;South Africa;PMO - US;Direct Drop;DDP;Air;1;Yes;ARV;Adult;Aurobindo Pharma Limited;Lamivudine 150mg, tablets, 60 Tabs;Lamivudine;Generic;150mg;Tablet;60;2004;5070,12;2,53;0,04;Aurobindo Unit III, India;Yes;3;1791,41;10,93
2767;Vietnam;PMO - US;Direct Drop;CIP;Air;0;No;ARV;Pediatric;BRISTOL-MYERS SQUIBB;Didanosine 25mg [Videx], chewable tablets, 60 Tabs;Didanosine;Videx;25mg;Chewable/dispersible tablet;60;800;5600,00;7,00;0,12;BMS Meymac, France;Yes;161;2514,05;8,96
5658;Uganda;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Trinity Biotech, Plc;HIV 1/2, Uni-Gold HIV Kit, 20 Tests;HIV 1/2, Uni-Gold HIV Kit;Uni-Gold;N/A;Test kit;20;85;2720,00;32,00;1,60;Trinity Biotech, Plc;Yes;85;1253,98;4,35
67753;Tanzania;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Pediatric;EMCURE PHARMACEUTICALS LTD;Atazanavir 150mg, capsules, 60 Caps;Atazanavir;Generic;150mg;Capsule;60;1028;22616,00;22,00;0,37;Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India;Yes;107;1794,89;37,32
36913;Guyana;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Trinity Biotech, Plc;HIV 1/2, Uni-Gold HIV Kit, 20 Tests;HIV 1/2, Uni-Gold HIV Kit;Uni-Gold;N/A;Test kit;20;1470;47040,00;32,00;1,60;Trinity Biotech, Plc;Yes;500;5255,14;101,42
75799;Ghana;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;Aurobindo Pharma Limited;Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs;Lopinavir/Ritonavir;Generic;200/50mg;Tablet;120;3393;73967,40;21,80;0,18;Aurobindo Unit III, India;Yes;915;6006,37;76,04
25477;Uganda;PMO - US;Direct Drop;CIP;Air;0;No;ARV;Adult;MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.);Raltegravir 400mg [Isentress], tablets, 60 Tabs;Raltegravir;Isentress;400mg;Tablet;60;274;25071,00;91,50;1,52;MSD, Haarlem, NL;Yes;28;501,00;41,37
46942;South Africa;PMO - US;Direct Drop;DDP;Air;0;No;ARV;Adult;CIPLA LIMITED;Abacavir 300mg, tablets, 60 Tabs;Abacavir;Generic;300mg;Tablet;60;10000;172800,00;17,28;0,29;Cipla, Patalganga, India;Yes;1087;2531,30;372,56
78314;Rwanda;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Orgenics, Ltd;HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests;HIV 1/2, Determine HIV Kit, without Lancets;Determine;N/A;Test kit;100;5000;388500,00;77,70;0,78;Inverness Japan;Yes;1134;15367,03;837,61
17135;Tanzania;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Standard Diagnostics, Inc.;HIV 1/2, Determine Complete HIV Kit, 100 Tests;HIV 1/2, Determine Complete HIV Kit;Determine;N/A;Test kit;100;3053;0,00;0,00;0,00;Alere Medical Co., Ltd.;Yes;1265;21384,75;0,00
22620;Namibia;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;HETERO LABS LIMITED;Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs;Lamivudine/Tenofovir Disoproxil Fumarate;Generic;300/300mg;Tablet - FDC;30;24096;111323,52;4,62;0,15;Hetero Unit III Hyderabad IN;Yes;2630;12463,74;114,44
61306;Zambia;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Trinity Biotech, Plc;HIV 1/2, Uni-Gold HIV Kit, 20 Tests;HIV 1/2, Uni-Gold HIV Kit;Uni-Gold;N/A;Test kit;20;3500;112000,00;32,00;1,60;Trinity Biotech, Plc;Yes;1224;15670,60;184,80
55504;Ethiopia;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Trinity Biotech, Plc;HIV 1/2, Uni-Gold HIV Kit, 20 Tests;HIV 1/2, Uni-Gold HIV Kit;Uni-Gold;N/A;Test kit;20;27;864,00;32,00;1,60;Trinity Biotech, Plc;Yes;10;490,23;1,21
69366;Ethiopia;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;Aurobindo Pharma Limited;Didanosine 400mg, delayed-release capsules, 30 Caps;Didanosine;Generic;400mg;Delayed-release capsules;30;500;10000,00;20,00;0,67;Aurobindo Unit III, India;Yes;39;516,35;21,56
54666;Uganda;PMO - US;Direct Drop;CIP;Air;0;No;ARV;Adult;MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES);Abacavir/Lamivudine 600/300mg, tablets, 30 Tabs;Abacavir/Lamivudine;Generic;600/300mg;Tablet - FDC;30;8215;110820,35;13,49;0,45;Mylan (formerly Matrix) Nashik;Yes;805;1003,18;137,08
8909;Botswana;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Orasure Technologies Inc.;HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests;HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit;OraQuick;N/A;Test kit;100;5;1750,00;350,00;3,50;Pacific Biotech, Thailand;Yes;12;810,85;3,43
65219;Zimbabwe;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Orgenics, Ltd;HIV 1/2, Determine Complete HIV Kit, 100 Tests;HIV 1/2, Determine Complete HIV Kit;Determine;N/A;Test kit;100;1800;144000,00;80,00;0,80;Alere Medical Co., Ltd.;Yes;885;17806,34;237,60
33450;Zimbabwe;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Orgenics, Ltd;HIV 1/2, Determine Complete HIV Kit, 100 Tests;HIV 1/2, Determine Complete HIV Kit;Determine;N/A;Test kit;100;1967;157360,00;80,00;0,80;Inverness Japan;Yes;1004;18612,64;259,64
10503;Zambia;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Orgenics, Ltd;HIV 1/2, Determine Complete HIV Kit, 100 Tests;HIV 1/2, Determine Complete HIV Kit;Determine;N/A;Test kit;100;2500;180000,00;72,00;0,72;Inverness Japan;Yes;740;7513,71;388,08
66641;South Africa;PMO - US;Direct Drop;DDP;Air;0;No;ARV;Pediatric;Aurobindo Pharma Limited;Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml;Nevirapine;Generic;10mg/ml;Oral suspension;240;19050;60007,50;3,15;0,01;Aurobindo Unit III, India;Yes;7349;4876,34;129,38
68878;Ethiopia;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;CHEMBIO DIAGNOSTIC SYSTEMS, INC.;HIV 1/2, Stat-Pak HIV, Kit, 20 Tests;HIV 1/2, Stat-Pak HIV, Kit;Stat-Pak;N/A;Test kit;20;545;16895,00;31,00;1,55;Chembio Diagnostics Sys. Inc.;Yes;204;1219,85;27,88
37960;Zimbabwe;PMO - US;Direct Drop;FCA;Air;0;No;ARV;Pediatric;ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV);Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml;Lopinavir/Ritonavir;Kaletra;80/20mg/ml;Oral solution;300;1500;46230,00;30,82;0,10;ABBVIE (Abbott) Logis. UK;Yes;1374;21730,49;64,81
79325;Cªte d'Ivoire;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Orgenics, Ltd;HIV 1/2, Determine Complete HIV Kit, 100 Tests;HIV 1/2, Determine Complete HIV Kit;Determine;N/A;Test kit;100;3135;250800,00;80,00;0,80;Alere Medical Co., Ltd.;Yes;1272;16856,60;257,82
16097;Tanzania;PMO - US;Direct Drop;CIP;Air;0;No;ARV;Adult;BRISTOL-MYERS SQUIBB;Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps;Didanosine EC;Videx EC;250mg;Delayed-release capsules - blister;30;18544;340096,96;18,34;0,61;BMS Meymac, France;Yes;1478;1312,20;666,59
59046;South Africa;PMO - US;Direct Drop;DDP;Ocean;0;No;ARV;Pediatric;Aurobindo Pharma Limited;Lamivudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml;Lamivudine;Generic;10mg/ml;Oral solution;240;45000;95400,00;2,12;0,01;Aurobindo Unit III, India;Yes;16260;17060,14;205,68
92;Nigeria;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Abbott GmbH & Co. KG;HIV 1/2, Determine Complete HIV Kit, 100 Tests;HIV 1/2, Determine Complete HIV Kit;Determine;N/A;Test kit;100;1000;80000,00;80,00;0,80;ABBVIE GmbH & Co.KG Wiesbaden;Yes;341;2682,47;128,00
28515;South Africa;PMO - US;Direct Drop;DDP;Ocean;1;Yes;ARV;Pediatric;Aurobindo Pharma Limited;Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml;Nevirapine;Generic;10mg/ml;Oral suspension;240;14065;29817,80;2,12;0,01;Aurobindo Unit III, India;Yes;6196;1220,84;64,29
71308;Botswana;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test - Ancillary;Orasure Technologies Inc.;#109435**HIV, OraQuick Controls Kit, 3 Vials;HIV, OraQuick Controls Kit, 3 Vials;OraQuick;N/A;Test kit - Ancillary;3;10;250,00;25,00;8,33;Orasure Technologies, Inc USA;Yes;7;403,66;0,49
399;Guyana;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test - Ancillary;Orgenics, Ltd;HIV, Lancet, Safety, for HIV Test kits, 100 Pcs;HIV, Lancet, Safety, for HIV Test kits, 100 Pcs;Generic;N/A;Test kit - Ancillary;100;213;2,13;0,01;0,00;Inverness Japan;Yes;14;360,00;0,00
70511;Cªte d'Ivoire;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Pediatric;Aurobindo Pharma Limited;Didanosine 200mg, delayed-release capsules, 30 Caps;Didanosine;Generic;200mg;Delayed-release capsules;30;827;9097,00;11,00;0,37;Aurobindo Unit III, India;Yes;72;1721,91;9,35
66349;South Sudan;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Trinity Biotech, Plc;HIV 1/2, Uni-Gold HIV Kit, 20 Tests;HIV 1/2, Uni-Gold HIV Kit;Uni-Gold;N/A;Test kit;20;240;7680,00;32,00;1,60;Trinity Biotech, Plc;Yes;82;1504,59;10,77
54035;Haiti;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;Aurobindo Pharma Limited;Didanosine 400mg, delayed-release capsules, 30 Caps;Didanosine;Generic;400mg;Delayed-release capsules;30;48;960,00;20,00;0,67;Aurobindo Unit III, India;Yes;4;970,79;1,35
52704;Uganda;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Pediatric;EMCURE PHARMACEUTICALS LTD;Atazanavir 150mg, capsules, 60 Caps;Atazanavir;Generic;150mg;Capsule;60;384;10018,56;26,09;0,43;Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India;Yes;40;990,07;19,64
54251;Guyana;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;Aurobindo Pharma Limited;Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs;Lopinavir/Ritonavir;Generic;200/50mg;Tablet;120;954;22896,00;24,00;0,20;Aurobindo Unit III, India;Yes;243;2492,47;32,10
51034;Nigeria;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Orgenics, Ltd;HIV 1/2, Determine Complete HIV Kit, 100 Tests;HIV 1/2, Determine Complete HIV Kit;Determine;N/A;Test kit;100;898;79922,00;89,00;0,89;Alere Medical Co., Ltd.;Yes;364;6522,64;98,86
65308;Nigeria;PMO - US;Direct Drop;EXW;Air;1;Yes;HRDT;HIV test;Orgenics, Ltd;HIV 1/2, Determine Complete HIV Kit, 100 Tests;HIV 1/2, Determine Complete HIV Kit;Determine;N/A;Test kit;100;1750;140000,00;80,00;0,80;Inverness Japan;Yes;842;14829,77;301,84
51165;Zambia;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Trinity Biotech, Plc;HIV 1/2, Uni-Gold HIV Kit, 20 Tests;HIV 1/2, Uni-Gold HIV Kit;Uni-Gold;N/A;Test kit;20;10500;336000,00;32,00;1,60;Trinity Biotech, Plc;Yes;3445;39662,72;415,63
57392;Uganda;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;HETERO LABS LIMITED;Nevirapine 200mg, tablets, 60 Tabs;Nevirapine;Generic;200mg;Tablet;60;40860;95612,40;2,34;0,04;Hetero Unit III Hyderabad IN;Yes;12945;48653,36;134,05
32422;Vietnam;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;HETERO LABS LIMITED;Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs;Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate;Generic;600/300/300mg;Tablet - FDC;30;24556;257838,00;10,50;0,35;Hetero Unit III Hyderabad IN;Yes;3443;6323,76;318,95
63826;Cªte d'Ivoire;PMO - US;Direct Drop;FCA;Air;0;No;ARV;Pediatric;ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV);Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml;Lopinavir/Ritonavir;Kaletra;80/20mg/ml;Oral solution;300;340;10478,80;30,82;0,10;ABBVIE (Abbott) Logis. UK;Yes;336;3899,33;12,96
67090;Haiti;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;STRIDES ARCOLAB LIMITED;Efavirenz 600mg, tablets, 30 Tabs;Efavirenz;Generic;600mg;Tablet;30;28080;89575,20;3,19;0,11;Strides, Bangalore, India.;Yes;1772;11656,59;110,80
43136;Kenya;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Orgenics, Ltd;HIV 1/2, Determine Complete HIV Kit, 100 Tests;HIV 1/2, Determine Complete HIV Kit;Determine;N/A;Test kit;100;3000;240000,00;80,00;0,80;Inverness Japan;Yes;907;9014,80;470,40
39589;Haiti;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;CIPLA LIMITED;Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs;Lamivudine/Tenofovir Disoproxil Fumarate;Generic;300/300mg;Tablet - FDC;30;8806;40419,54;4,59;0,15;Cipla, Kurkumbh, India;Yes;979;6161,47;41,55
31332;Congo, DRC;PMO - US;Direct Drop;EXW;Air;0;No;ANTM;Malaria;IMRES B.V.;Sulfadoxine/Pyrimethamine 500/25mg, tablets, 1000 Tabs;Sulfadoxine/Pyrimethamine;Generic;500/25mg;Tablet - FDC;1000;1370;37401,00;27,30;0,03;Guilin OSD site, No 17, China;Yes;1125;9693,68;38,45
33360;Haiti;PMO - US;Direct Drop;CIP;Air;0;No;ARV;Adult;ETHNOR DEL ISTMO S.A.;Darunavir 300mg [Prezista], tablets, 120 Tabs;Darunavir;Prezista;300mg;Tablet;120;120;7992,00;66,60;0,55;Janssen Ortho LLC, Puerto Rico;Yes;26;240,00;9,89
29979;Vietnam;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES);Abacavir 300mg, tablets, 60 Tabs;Abacavir;Generic;300mg;Tablet;60;270;4050,00;15,00;0,25;Mylan (formerly Matrix) Nashik;Yes;358;5294,24;8,73
17200;Haiti;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES);Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs;Atazanavir/Ritonavir;Generic;300/100mg;Tablet;30;5000;100000,00;20,00;0,67;Mylan (formerly Matrix) Nashik;Yes;670;4909,72;123,70
66383;Uganda;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Pediatric;Aurobindo Pharma Limited;Nevirapine 50mg, dispersible tablets (tablets for oral suspension), 30 Tabs;Nevirapine;Generic;50mg;Chewable/dispersible tablet;30;961;1201,25;1,25;0,04;Aurobindo Unit III, India;Yes;53;1203,40;1,49
