symbol;company;sector;industry;pe_ratio
PEP;PepsiCo Inc.;Consumer Staples;Soft Drinks;15,1230540
PKI;PerkinElmer;Health Care;Health Care Equipment;42,8732000
PRGO;Perrigo;Health Care;Pharmaceuticals;53,2934150
PFE;Pfizer Inc.;Health Care;Pharmaceuticals;22,4293770
PM;Philip Morris International;Consumer Staples;Tobacco;16,0202220
PSX;Phillips 66;Energy;Oil & Gas Refining & Marketing;8,0109660
PNW;Pinnacle West Capital;Utilities;Multi-Utilities;20,9125960
PXD;Pioneer Natural Resources;Energy;Oil & Gas Exploration & Production;23,1656740
PNC;PNC Financial Services;Financials;Regional Banks;12,2331440
PPG;PPG Industries;Materials;Specialty Chemicals;21,2894340
PPL;PPL Corp.;Utilities;Electric Utilities;12,3540860
PFG;Principal Financial Group;Financials;Life & Health Insurance;10,4288820
PG;Procter & Gamble;Consumer Staples;Personal Products;26,4509980
PGR;Progressive Corp.;Financials;Property & Casualty Insurance;15,9284300
PLD;Prologis;Real Estate;Industrial REITs;29,8897480
PRU;Prudential Financial;Financials;Life & Health Insurance;11,6246500
PEG;Public Serv. Enterprise Inc.;Utilities;Electric Utilities;19,6302260
PSA;Public Storage;Real Estate;Specialized REITs;27,9034670
PHM;Pulte Homes Inc.;Consumer Discretionary;Homebuilding;8,9481070
PVH;PVH Corp.;Consumer Discretionary;Apparel, Accessories & Luxury Goods;11,0275520
QRVO;Qorvo;Information Technology;Semiconductors;60,8476220
PWR;Quanta Services Inc.;Industrials;Construction & Engineering;15,6012920
QCOM;QUALCOMM Inc.;Information Technology;Semiconductors;38,3949300
DGX;Quest Diagnostics;Health Care;Health Care Services;19,3948670
RL;Ralph Lauren Corporation;Consumer Discretionary;Apparel, Accessories & Luxury Goods;22,3491460
RJF;Raymond James Financial Inc.;Financials;Investment Banking & Brokerage;12,0727060
RTN;Raytheon Co.;Industrials;Aerospace & Defense;17,0798360
O;Realty Income Corporation;Real Estate;Retail REITs;54,3233070
RHT;Red Hat Inc.;Information Technology;Systems Software;74,9900050
REG;Regency Centers Corporation;Real Estate;Retail REITs;41,1604460
REGN;Regeneron;Health Care;Biotechnology;15,1688530
RF;Regions Financial Corp.;Financials;Regional Banks;9,4023140
RSG;Republic Services Inc;Industrials;Environmental & Facilities Services;27,4225180
RMD;ResMed;Health Care;Health Care Equipment;38,8701860
RHI;Robert Half International;Industrials;Human Resource & Employment Services;15,1020960
ROK;Rockwell Automation Inc.;Industrials;Electrical Components & Equipment;20,7260230
ROL;Rollins Inc.;Industrials;Environmental & Facilities Services;54,0719450
ROP;Roper Technologies;Industrials;Industrial Conglomerates;34,6298940
ROST;Ross Stores;Consumer Discretionary;Apparel Retail;24,1879960
RCL;Royal Caribbean Cruises Ltd;Consumer Discretionary;Hotels, Resorts & Cruise Lines;13,1260720
CRM;Salesforce.com;Information Technology;Internet Software & Services;107,0580140
SBAC;SBA Communications;Real Estate;Specialized REITs;635,3699000
SLB;Schlumberger Ltd.;Energy;Oil & Gas Equipment & Services;26,8137930
STX;Seagate Technology;Information Technology;Technology Hardware, Storage & Peripherals;9,0406690
SEE;Sealed Air;Materials;Paper Packaging;14,6315790
SRE;Sempra Energy;Utilities;Multi-Utilities;37,9752270
SHW;Sherwin-Williams;Materials;Specialty Chemicals;39,8843800
SPG;Simon Property Group Inc;Real Estate;Retail REITs;21,4580880
SWKS;Skyworks Solutions;Information Technology;Semiconductors;12,5638890
SLG;SL Green Realty;Real Estate;Office REITs;41,3098700
SNA;Snap-on;Industrials;Industrial Machinery;13,2530720
SO;Southern Co.;Utilities;Electric Utilities;17,2395840
LUV;Southwest Airlines;Industrials;Airlines;12,1445500
SPGI;S&P Global, Inc.;Financials;Financial Exchanges & Data;30,6815130
SWK;Stanley Black & Decker;Industrials;Industrial Machinery;35,7998500
SBUX;Starbucks Corp.;Consumer Discretionary;Restaurants;36,2073440
STT;State Street Corp.;Financials;Asset Management & Custody Banks;9,3201280
SYK;Stryker Corp.;Health Care;Health Care Equipment;21,8589610
STI;SunTrust Banks;Financials;Regional Banks;10,9350880
SIVB;SVB Financial;Financials;Regional Banks;10,8572720
SYMC;Symantec Corp.;Information Technology;Application Software;484,6511500
SYF;Synchrony Financial;Financials;Consumer Finance;7,6997313
SNPS;Synopsys Inc.;Information Technology;Application Software;32,6012150
SYY;Sysco Corp.;Consumer Staples;Food Distributors;23,3862970
TROW;T. Rowe Price Group;Financials;Asset Management & Custody Banks;14,2789345
TTWO;Take-Two Interactive;Communication Services;Interactive Home Entertainment;38,8413770
TPR;Tapestry, Inc.;Consumer Discretionary;Apparel, Accessories & Luxury Goods;12,9142620
TGT;Target Corp.;Consumer Discretionary;General Merchandise Stores;15,3254020
TEL;TE Connectivity Ltd.;Information Technology;Electronic Manufacturing Services;11,6654415
FTI;TechnipFMC;Energy;Oil & Gas Equipment & Services;NA
TFX;Teleflex;Health Care;Health Care Equipment;84,6346400
TXN;Texas Instruments;Information Technology;Semiconductors;20,3921570
TXT;Textron Inc.;Industrials;Aerospace & Defense;10,5465260
TMO;Thermo Fisher Scientific;Health Care;Health Care Equipment;37,6066400
TIF;Tiffany & Co.;Consumer Discretionary;Apparel, Accessories & Luxury Goods;20,1680320
TWTR;Twitter, Inc.;Communication Services;Interactive Media & Services;20,2896880
TJX;TJX Companies Inc.;Consumer Discretionary;Apparel Retail;21,6837370
TMK;Torchmark Corp.;Financials;Life & Health Insurance;14,0950560
TSS;Total System Services;Information Technology;Internet Software & Services;39,4522630
TSCO;Tractor Supply Company;Consumer Discretionary;Specialty Stores;24,3633040
TDG;TransDigm Group;Industrials;Aerospace & Defense;33,9238970
TRV;The Travelers Companies Inc.;Financials;Property & Casualty Insurance;15,3927450
TRIP;TripAdvisor;Communication Services;Interactive Media & Services;49,7894740
TSN;Tyson Foods;Consumer Staples;Packaged Foods & Meats;14,1639870
UDR;UDR, Inc.;Real Estate;Residential REITs;88,0154200
ULTA;Ulta Beauty;Consumer Discretionary;Specialty Stores;30,9561500
USB;U.S. Bancorp;Financials;Diversified Banks;12,4964120
UAA;Under Armour Class A;Consumer Discretionary;Apparel, Accessories & Luxury Goods;1867,8570000
UA;Under Armour Class C;Consumer Discretionary;Apparel, Accessories & Luxury Goods;1650,0000000
UNP;Union Pacific Corp;Industrials;Railroads;20,6518270
UAL;United Continental Holdings;Industrials;Airlines;10,3769290
UNH;United Health Group Inc.;Health Care;Managed Health Care;19,5884780
UPS;United Parcel Service;Industrials;Air Freight & Logistics;19,4980930
URI;United Rentals, Inc.;Industrials;Trading Companies & Distributors;9,8163260
UTX;United Technologies;Industrials;Aerospace & Defense;20,0015540
UHS;Universal Health Services, Inc.;Health Care;Health Care Facilities;14,7354190
UNM;Unum Group;Financials;Life & Health Insurance;13,3059560
VFC;V.F. Corp.;Consumer Discretionary;Apparel, Accessories & Luxury Goods;28,1253990
VLO;Valero Energy;Energy;Oil & Gas Refining & Marketing;12,4445470
VAR;Varian Medical Systems;Health Care;Health Care Equipment;33,3381920
VTR;Ventas Inc;Real Estate;Health Care REITs;55,3700800
VRSN;Verisign Inc.;Information Technology;Internet Services & Infrastructure;42,0742700
VRSK;Verisk Analytics;Industrials;Research & Consulting Services;40,5110320
VZ;Verizon Communications;Communication Services;Integrated Telecommunication Services;14,9237920
VRTX;Vertex Pharmaceuticals Inc;Health Care;Biotechnology;22,1704030
VIAB;Viacom Inc.;Communication Services;Movies & Entertainment;7,6961520
V;Visa Inc.;Information Technology;IT Services;35,8347100
VNO;Vornado Realty Trust;Real Estate;Office REITs;21,8989810
VMC;Vulcan Materials;Materials;Construction Materials;34,2610470
WAB;Wabtec Corporation;Industrials;Construction Machinery & Heavy Trucks;37,2173920
WMT;Walmart;Consumer Staples;Hypermarkets & Super Centers;38,8838350
WBA;Walgreens Boots Alliance;Consumer Staples;Drug Retail;9,8460670
DIS;The Walt Disney Company;Communication Services;Movies & Entertainment;15,6891920
WM;Waste Management Inc.;Industrials;Environmental & Facilities Services;26,5993100
WAT;Waters Corporation;Health Care;Health Care Distributors;27,2693480
WEC;Wec Energy Group Inc;Utilities;Electric Utilities;24,8313940
WCG;WellCare;Health Care;Managed Health Care;29,8008560
WFC;Wells Fargo;Financials;Diversified Banks;10,3738940
WELL;Welltower Inc.;Real Estate;Health Care REITs;52,9765700
WDC;Western Digital;Information Technology;Technology Hardware, Storage & Peripherals;60,8510670
WU;Western Union Co;Information Technology;Internet Software & Services;11,1487240
WRK;WestRock;Materials;Paper Packaging;11,2568980
WY;Weyerhaeuser;Real Estate;Specialized REITs;103,3596900
WHR;Whirlpool Corp.;Consumer Discretionary;Household Appliances;47,7807770
WMB;Williams Cos.;Energy;Oil & Gas Storage & Transportation;NA
WLTW;Willis Towers Watson;Financials;Insurance Brokers;32,8026660
WYNN;Wynn Resorts Ltd;Consumer Discretionary;Casinos & Gaming;14,9043170
XEL;Xcel Energy Inc;Utilities;Multi-Utilities;24,5472680
XRX;Xerox;Information Technology;Technology Hardware, Storage & Peripherals;18,9671860
XLNX;Xilinx;Information Technology;Semiconductors;32,3170000
XYL;Xylem Inc.;Industrials;Industrial Machinery;26,9835000
YUM;Yum! Brands Inc;Consumer Discretionary;Restaurants;25,9275820
ZBH;Zimmer Biomet Holdings;Health Care;Health Care Equipment;NA
ZION;Zions Bancorp;Financials;Regional Banks;11,0330280
ZTS;Zoetis;Health Care;Pharmaceuticals;39,4685330
