id;day;airline;destination;dest_region;dest_size;boarding_area;dept_time;wait_min;cleanliness;safety;satisfaction
1265;Thursday;CATHAY PACIFIC;HONG KONG;Asia;Hub;Gates 1-12;2018-12-31;215,0000000000000;Somewhat clean;Somewhat safe;Somewhat satsified
2885;Friday;EVA AIR;TAIPEI;Asia;Hub;Gates 91-102;2018-12-31;180,0000000000000;Average;Very safe;NA
2457;Friday;UNITED;CHICAGO-O'HARE;Midwest US;Hub;Gates 60-69;2018-12-31;154,0000000000000;Clean;Very safe;Neutral
3198;Tuesday;UNITED;ONTARIO (CALIF);West US;Small;Gates 70-90;2018-12-31;1365,0000000000000;Average;Somewhat safe;Somewhat unsatisfied
2128;Wednesday;FRONTIER;DENVER;West US;Hub;Gates 20-39;2018-12-31;243,0000000000000;Clean;Very safe;Somewhat satsified
2199;Thursday;SOUTHWEST;LAS VEGAS;West US;Hub;Gates 20-39;2018-12-31;180,0000000000000;Somewhat clean;Neutral;Somewhat unsatisfied
1376;Tuesday;UNITED INTL;SHANGHAI;Asia;Hub;Gates 91-102;2018-12-31;205,0000000000000;Somewhat clean;Somewhat safe;Somewhat satsified
2152;Wednesday;AIR CANADA;VANCOUVER;Canada/Mexico;Medium;Gates 91-102;2018-12-31;110,0000000000000;Average;Somewhat safe;Somewhat satsified
621;Tuesday;ALASKA;WASHINGTON DC-DULLES;East US;Medium;Gates 50-59;2018-12-31;84,9999999999999;Average;Very safe;Neutral
4;Tuesday;SOUTHWEST;LOS ANGELES;West US;Hub;Gates 20-39;2018-12-31;75,0000000000001;Somewhat clean;Somewhat safe;Neutral
1541;Wednesday;AIR CHINA;BEIJING;Asia;Hub;Gates 91-102;2018-12-31;140,0000000000000;Somewhat clean;Very safe;Neutral
2242;Wednesday;WOW;REYKJAVIK;Europe;Small;Gates 91-102;2018-12-31;156,0000000000000;Somewhat clean;Somewhat safe;Neutral
1039;Friday;AIR CANADA;CALGARY;Canada/Mexico;Medium;Gates 91-102;2018-12-31;245,0000000000000;Somewhat clean;Neutral;Neutral
475;Sunday;ALASKA;PORTLAND;West US;Medium;Gates 50-59;2018-12-31;178,0000000000000;NA;Very safe;Neutral
2460;Friday;ALASKA;SALT LAKE CITY;West US;Medium;Gates 1-12;2018-12-31;225,0000000000000;Somewhat clean;Very safe;Somewhat satsified
2132;Wednesday;FRONTIER;DENVER;West US;Hub;Gates 20-39;2018-12-31;183,0000000000000;Average;Very safe;Somewhat satsified
1594;Wednesday;SINGAPORE AIRLINES;SINGAPORE;Asia;Hub;Gates 91-102;2018-12-31;120,0000000000000;Average;Neutral;Neutral
1536;Wednesday;AIR CHINA;BEIJING;Asia;Hub;Gates 91-102;2018-12-31;170,0000000000000;Somewhat clean;Neutral;Neutral
1582;Wednesday;DELTA;SALT LAKE CITY;West US;Medium;Gates 40-48;2018-12-31;125,0000000000000;Somewhat clean;Somewhat safe;Neutral
684;Wednesday;CATHAY PACIFIC;HONG KONG;Asia;Hub;Gates 1-12;2018-12-31;230,0000000000000;Somewhat clean;Very safe;Somewhat satsified
101;Tuesday;UNITED;WASHINGTON DC-DULLES;East US;Medium;Gates 70-90;2018-12-31;140,0000000000000;Somewhat clean;Somewhat safe;Neutral
2455;Friday;ALASKA;SALT LAKE CITY;West US;Medium;Gates 1-12;2018-12-31;150,0000000000000;Average;Very safe;Somewhat satsified
294;Thursday;UNITED;SAN DIEGO;West US;Medium;Gates 70-90;2018-12-31;182,0000000000000;Somewhat clean;Very safe;Very satisfied
1005;Friday;AIR CANADA;VANCOUVER;Canada/Mexico;Medium;Gates 91-102;2018-12-31;245,0000000000000;Somewhat clean;Very safe;Neutral
464;Sunday;ALASKA;PORTLAND;West US;Medium;Gates 50-59;2018-12-31;118,0000000000000;Somewhat clean;Somewhat safe;Somewhat satsified
1583;Wednesday;UNITED INTL;HONG KONG;Asia;Hub;Gates 91-102;2018-12-31;150,0000000000000;Clean;Very safe;Very satisfied
1579;Wednesday;UNITED INTL;HONG KONG;Asia;Hub;Gates 91-102;2018-12-31;180,0000000000000;Somewhat clean;Very safe;Somewhat satsified
1269;Thursday;CATHAY PACIFIC;HONG KONG;Asia;Hub;Gates 1-12;2018-12-31;165,0000000000000;Average;Neutral;Somewhat satsified
2654;Saturday;AEROMEXICO;MEXICO CITY;Canada/Mexico;Hub;Gates 1-12;2018-12-31;230,0000000000000;Clean;Very safe;Somewhat satsified
519;Thursday;EMIRATES;DUBAI;Middle East;Hub;Gates 1-12;2018-12-31;285,0000000000000;Somewhat clean;Very safe;Somewhat satsified
863;Tuesday;ALASKA;SEATTLE;West US;Hub;Gates 50-59;2018-12-31;65,0000000000001;Somewhat clean;Very safe;Neutral
1516;Wednesday;INTERJET;GUADALAJARA;Canada/Mexico;Medium;Gates 1-12;2018-12-31;135,0000000000000;Clean;Very safe;Somewhat satsified
659;Thursday;UNITED;NEWARK;East US;Hub;Gates 70-90;2018-12-31;135,0000000000000;Somewhat clean;Very safe;Neutral
656;Thursday;UNITED;NEWARK;East US;Hub;Gates 70-90;2018-12-31;225,0000000000000;Somewhat clean;Very safe;Somewhat satsified
2929;Tuesday;SOUTHWEST;SAN DIEGO;West US;Medium;Gates 20-39;2018-12-31;75,0000000000001;Somewhat clean;Very safe;Neutral
280;Thursday;UNITED;BALTIMORE;East US;Medium;Gates 70-90;2018-12-31;194,0000000000000;Somewhat clean;Very safe;Somewhat satsified
2649;Tuesday;SOUTHWEST;DENVER;West US;Hub;Gates 20-39;2018-12-31;79,9999999999999;Somewhat clean;Somewhat safe;Neutral
1500;Wednesday;DELTA;LOS ANGELES;West US;Hub;Gates 40-48;2018-12-31;135,0000000000000;Somewhat clean;Neutral;Neutral
2450;Friday;UNITED;CHICAGO-O'HARE;Midwest US;Hub;Gates 60-69;2018-12-31;169,0000000000000;Average;Very safe;Neutral
3045;Tuesday;AMERICAN;DALLAS-FT. WORTH;Midwest US;Hub;Gates 50-59;2018-12-31;110,0000000000000;Somewhat clean;Somewhat safe;NA
614;Thursday;ALASKA;NEWARK;East US;Hub;Gates 50-59;2018-12-31;140,0000000000000;Clean;Very safe;Somewhat satsified
204;Wednesday;AMERICAN;LOS ANGELES;West US;Hub;Gates 50-59;2018-12-31;130,0000000000000;Average;Very safe;Neutral
1049;Friday;AIR CANADA;CALGARY;Canada/Mexico;Medium;Gates 91-102;2018-12-31;445,0000000000000;Somewhat clean;Very safe;Very satisfied
2209;Thursday;SOUTHWEST;LAS VEGAS;West US;Hub;Gates 20-39;2018-12-31;135,0000000000000;Somewhat clean;Somewhat safe;Neutral
1471;Wednesday;AVIANCA;SAN SALVADOR;Central/South America;Small;Gates 1-12;2018-12-31;130,0000000000000;Clean;Very safe;NA
2296;Wednesday;WOW;REYKJAVIK;Europe;Small;Gates 91-102;2018-12-31;205,0000000000000;Somewhat clean;Very safe;Somewhat satsified
2412;Wednesday;AIR NEW ZEALAND;AUCKLAND;Australia/New Zealand;Medium;Gates 91-102;2018-12-31;145,0000000000000;Somewhat clean;Very safe;Somewhat satsified
2407;Wednesday;AIR NEW ZEALAND;AUCKLAND;Australia/New Zealand;Medium;Gates 91-102;2018-12-31;580,0000000000000;Clean;Very safe;Very satisfied
1514;Wednesday;INTERJET;GUADALAJARA;Canada/Mexico;Medium;Gates 1-12;2018-12-31;105,0000000000000;Somewhat clean;Very safe;Somewhat satsified
3040;Tuesday;AMERICAN;DALLAS-FT. WORTH;Midwest US;Hub;Gates 50-59;2018-12-31;155,0000000000000;Somewhat clean;Very safe;Somewhat satsified
844;Tuesday;ALASKA;PORTLAND;West US;Medium;Gates 50-59;2018-12-31;94,0000000000000;Clean;Very safe;NA
881;Tuesday;ALASKA;RALEIGH-DURHAM;East US;Medium;Gates 50-59;2018-12-31;160,0000000000000;Somewhat clean;Very safe;Somewhat satsified
2409;Wednesday;AIR NEW ZEALAND;AUCKLAND;Australia/New Zealand;Medium;Gates 91-102;2018-12-31;190,0000000000000;Somewhat clean;Very safe;Very satisfied
1527;Wednesday;ALASKA;LOS ANGELES;West US;Hub;Gates 40-48;2018-12-31;110,0000000000000;Average;Somewhat safe;Somewhat satsified
1195;Tuesday;SOUTHWEST;LAS VEGAS;West US;Hub;Gates 20-39;2018-12-31;79,9999999999999;Somewhat clean;Somewhat safe;Somewhat satsified
1042;Friday;AIR CANADA;CALGARY;Canada/Mexico;Medium;Gates 91-102;2018-12-31;295,0000000000000;Somewhat clean;Somewhat safe;Somewhat satsified
2957;Tuesday;AMERICAN;NEW YORK-JFK;East US;Hub;Gates 50-59;2018-12-31;175,0000000000000;Somewhat clean;Neutral;Somewhat satsified
2380;Wednesday;UNITED INTL;SYDNEY;Australia/New Zealand;Hub;Gates 91-102;2018-12-31;155,0000000000000;Clean;Very safe;Somewhat satsified
102;Tuesday;UNITED;WASHINGTON DC-DULLES;East US;Medium;Gates 70-90;2018-12-31;200,0000000000000;Somewhat clean;Somewhat safe;Somewhat satsified
2486;Saturday;UNITED;NEWARK;East US;Hub;Gates 70-90;2018-12-31;170,0000000000000;Somewhat clean;Very safe;Somewhat satsified
342;Friday;LUFTHANSA;FRANKFURT;Europe;Hub;Gates 91-102;2018-12-31;150,0000000000000;Clean;Somewhat safe;Very satisfied
1808;Monday;UNITED INTL;LONDON HEATHROW;Europe;Hub;Gates 91-102;2018-12-31;155,0000000000000;Somewhat clean;Somewhat safe;Somewhat satsified
322;Thursday;UNITED;BURBANK;West US;Small;Gates 70-90;2018-12-31;130,0000000000000;Somewhat clean;Very safe;Very satisfied
1090;Thursday;DELTA;MINNEAPOLIS-ST. PAUL;Midwest US;Hub;Gates 40-48;2018-12-31;105,0000000000000;Somewhat clean;Very safe;Somewhat satsified
2211;Thursday;SOUTHWEST;PHOENIX;West US;Hub;Gates 20-39;2018-12-31;165,0000000000000;Somewhat clean;Somewhat safe;Somewhat satsified
1555;Wednesday;DELTA;ATLANTA;East US;Hub;Gates 40-48;2018-12-31;105,0000000000000;Somewhat clean;Somewhat safe;Neutral
2249;Saturday;UNITED;BAKERSFIELD;West US;Small;Gates 70-90;2018-12-31;148,0000000000000;Clean;Somewhat safe;Somewhat satsified
879;Tuesday;ALASKA;RALEIGH-DURHAM;East US;Medium;Gates 50-59;2018-12-31;160,0000000000000;Somewhat clean;Very safe;Somewhat satsified
546;Thursday;ALASKA;SEATTLE;West US;Hub;Gates 50-59;2018-12-31;75,0000000000000;Somewhat clean;Very safe;Somewhat satsified
2956;Tuesday;AMERICAN;NEW YORK-JFK;East US;Hub;Gates 50-59;2018-12-31;130,0000000000000;Somewhat clean;Very safe;Somewhat satsified
1439;Wednesday;FRONTIER;DENVER;West US;Hub;Gates 20-39;2018-01-01;419,0000000000000;Somewhat clean;Somewhat safe;Somewhat satsified
243;Thursday;UNITED;NASHVILLE;Midwest US;Medium;Gates 70-90;2018-12-31;80,0000000000002;Somewhat clean;Very safe;Very satisfied
889;Friday;AIR CANADA;TORONTO;Canada/Mexico;Hub;Gates 91-102;2018-12-31;330,0000000000000;Clean;Very safe;Somewhat satsified
1566;Wednesday;DELTA;DETROIT;Midwest US;Large;Gates 40-48;2018-12-31;125,0000000000000;Clean;Very safe;Somewhat satsified
104;Tuesday;UNITED;WASHINGTON DC-DULLES;East US;Medium;Gates 70-90;2018-12-31;80,0000000000001;Average;Very safe;NA
2338;Wednesday;UNITED;AUSTIN;Midwest US;Medium;Gates 70-90;2018-12-31;120,0000000000000;Somewhat clean;Very safe;Somewhat satsified
1585;Wednesday;DELTA;SALT LAKE CITY;West US;Medium;Gates 40-48;2018-12-31;100,0000000000000;Somewhat dirty;Neutral;Somewhat satsified
326;Thursday;UNITED;BURBANK;West US;Small;Gates 70-90;2018-12-31;100,0000000000000;Somewhat clean;Very safe;Somewhat satsified
2670;Tuesday;SOUTHWEST;DENVER;West US;Hub;Gates 20-39;2018-12-31;260,0000000000000;Average;Very safe;Somewhat satsified
869;Tuesday;ALASKA;SEATTLE;West US;Hub;Gates 50-59;2018-12-31;115,0000000000000;Clean;Very safe;Neutral
279;Thursday;UNITED;BALTIMORE;East US;Medium;Gates 70-90;2018-12-31;644,0000000000000;Somewhat clean;Very safe;Somewhat satsified
3201;Tuesday;UNITED;ONTARIO (CALIF);West US;Small;Gates 70-90;2018-12-31;95,0000000000000;Clean;Somewhat safe;Somewhat satsified
1363;Tuesday;UNITED INTL;PARIS-DE GAULLE;Europe;Hub;Gates 91-102;2018-12-31;195,0000000000000;Somewhat clean;Very safe;Somewhat satsified
1365;Tuesday;UNITED INTL;PARIS-DE GAULLE;Europe;Hub;Gates 91-102;2018-12-31;195,0000000000000;Somewhat clean;Somewhat safe;Somewhat satsified
1504;Wednesday;DELTA;LOS ANGELES;West US;Hub;Gates 40-48;2018-12-31;105,0000000000000;Somewhat clean;Very safe;Somewhat satsified
745;Thursday;AIR CANADA;TORONTO;Canada/Mexico;Hub;Gates 91-102;2018-12-31;145,0000000000000;Somewhat clean;Very safe;Somewhat satsified
2765;Sunday;WOW;REYKJAVIK;Europe;Small;Gates 1-12;2018-12-31;175,0000000000000;Somewhat clean;Very safe;Somewhat satsified
272;Thursday;UNITED;LOS ANGELES;West US;Hub;Gates 70-90;2018-12-31;70,0000000000001;Somewhat clean;Somewhat safe;Somewhat satsified
1360;Tuesday;UNITED INTL;PARIS-DE GAULLE;Europe;Hub;Gates 91-102;2018-12-31;225,0000000000000;Average;Somewhat safe;Somewhat satsified
3046;Tuesday;AMERICAN;LOS ANGELES;West US;Hub;Gates 50-59;2018-12-31;120,0000000000000;Average;Very safe;Very satisfied
2088;Tuesday;AMERICAN;PHOENIX;West US;Hub;Gates 50-59;2018-12-31;121,0000000000000;Somewhat clean;Very safe;Very satisfied
670;Thursday;AIR FRANCE/KLM;PARIS-DE GAULLE;Europe;Hub;Gates 1-12;2018-12-31;200,0000000000000;Somewhat clean;Somewhat safe;Neutral
2673;Wednesday;AIR FRANCE/KLM;PARIS-DE GAULLE;Europe;Hub;Gates 1-12;2018-12-31;330,0000000000000;Clean;Very safe;Somewhat satsified
2252;Wednesday;UNITED;LOS ANGELES;West US;Hub;Gates 60-69;2018-12-31;125,0000000000000;Somewhat clean;Very safe;Neutral
2677;Wednesday;AIR FRANCE/KLM;PARIS-DE GAULLE;Europe;Hub;Gates 1-12;2018-12-31;210,0000000000000;Somewhat clean;Very safe;Neutral
750;Thursday;AIR CANADA;TORONTO;Canada/Mexico;Hub;Gates 91-102;2018-12-31;235,0000000000000;Somewhat clean;Somewhat safe;Somewhat satsified
938;Thursday;AIR CANADA;VANCOUVER;Canada/Mexico;Medium;Gates 91-102;2018-12-31;105,0000000000000;Average;Very safe;Somewhat satsified
1958;Friday;CATHAY PACIFIC;HONG KONG;Asia;Hub;Gates 1-12;2018-12-31;275,0000000000000;Somewhat clean;Somewhat safe;Somewhat satsified
2834;Tuesday;UNITED;CHICAGO-O'HARE;Midwest US;Hub;Gates 70-90;2018-12-31;100,0000000000000;Somewhat clean;Very safe;Somewhat satsified
1458;Wednesday;FRONTIER;DENVER;West US;Hub;Gates 20-39;2018-01-01;179,0000000000000;Clean;Somewhat safe;Somewhat satsified
2229;Thursday;SOUTHWEST;SANTA ANA;West US;Medium;Gates 20-39;2018-12-31;120,0000000000000;Somewhat clean;Very safe;Somewhat satsified
327;Thursday;UNITED;BURBANK;West US;Small;Gates 70-90;2018-12-31;70,0000000000001;Somewhat clean;Very safe;Somewhat satsified
2179;Wednesday;QANTAS;SYDNEY;Australia/New Zealand;Hub;Gates 1-12;2018-12-31;270,0000000000000;Somewhat clean;Somewhat safe;Somewhat satsified
1487;Wednesday;HAWAIIAN AIR;HONOLULU;West US;Medium;Gates 1-12;2018-12-31;135,0000000000000;Clean;Very safe;Somewhat satsified
1507;Wednesday;DELTA;LOS ANGELES;West US;Hub;Gates 40-48;2018-12-31;120,0000000000000;Clean;Very safe;Somewhat satsified
402;Sunday;UNITED;HOUSTON-BUSH;Midwest US;Hub;Gates 70-90;2018-12-31;167,0000000000000;Somewhat clean;Somewhat safe;Somewhat satsified
949;Tuesday;ALASKA;NEW YORK-JFK;East US;Hub;Gates 50-59;2018-12-31;155,0000000000000;Somewhat clean;Somewhat safe;NA
1;Thursday;SOUTHWEST;SAN DIEGO;West US;Medium;Gates 20-39;2018-12-31;84,9999999999999;Somewhat clean;Neutral;Somewhat satsified
893;Friday;AIR CANADA;TORONTO;Canada/Mexico;Hub;Gates 91-102;2018-12-31;150,0000000000000;Clean;Very safe;Very satisfied
2180;Wednesday;QANTAS;SYDNEY;Australia/New Zealand;Hub;Gates 1-12;2018-12-31;195,0000000000000;Average;Neutral;Somewhat satsified
1858;Tuesday;UNITED;LOS ANGELES;West US;Hub;Gates 60-69;2018-12-31;120,0000000000000;Average;Somewhat safe;Neutral
2001;Friday;AIR FRANCE/KLM;PARIS-DE GAULLE;Europe;Hub;Gates 1-12;2018-12-31;245,0000000000000;Somewhat clean;Very safe;Somewhat satsified
1454;Wednesday;UNITED;LAS VEGAS;West US;Hub;Gates 60-69;2018-12-31;112,0000000000000;Clean;Very safe;Very satisfied
2389;Wednesday;UNITED INTL;BEIJING;Asia;Hub;Gates 91-102;2018-12-31;285,0000000000000;Clean;Somewhat safe;Somewhat satsified
2059;Thursday;AMERICAN;PHILADELPHIA;East US;Large;Gates 50-59;2018-12-31;117,0000000000000;Clean;Very safe;Somewhat satsified
419;Sunday;UNITED;INDIANAPOLIS;Midwest US;Medium;Gates 60-69;2018-12-31;173,0000000000000;Somewhat clean;Very safe;Somewhat satsified
1276;Thursday;CHINA SOUTHERN;WUHAN;Asia;Medium;Gates 1-12;2018-12-31;225,0000000000000;Somewhat dirty;Somewhat safe;Somewhat satsified
1434;Wednesday;FRONTIER;DENVER;West US;Hub;Gates 20-39;2018-01-01;209,0000000000000;Clean;Very unsafe;Somewhat satsified
2181;Wednesday;QANTAS;SYDNEY;Australia/New Zealand;Hub;Gates 1-12;2018-12-31;180,0000000000000;Clean;Very safe;Somewhat satsified
3043;Tuesday;AMERICAN;DALLAS-FT. WORTH;Midwest US;Hub;Gates 50-59;2018-12-31;230,0000000000000;Somewhat clean;Very safe;Somewhat satsified
2548;Saturday;JETBLUE;BOSTON;East US;Large;Gates 1-12;2018-12-31;135,0000000000000;Clean;Very safe;NA
2703;Friday;UNITED;CHICAGO-O'HARE;Midwest US;Hub;Gates 60-69;2018-12-31;150,0000000000000;Clean;Very safe;Somewhat satsified
2533;Saturday;JETBLUE;LONG BEACH;West US;Small;Gates 1-12;2018-12-31;108,0000000000000;Somewhat clean;Very safe;Somewhat satsified
2904;Friday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;2018-12-31;385,0000000000000;Clean;Somewhat safe;Somewhat satsified
2101;Tuesday;AMERICAN;PHOENIX;West US;Hub;Gates 50-59;2018-12-31;91,0000000000001;Clean;Very safe;Very satisfied
2138;Wednesday;FRONTIER;DENVER;West US;Hub;Gates 20-39;2018-12-31;273,0000000000000;Somewhat clean;Very safe;Neutral
2193;Wednesday;AER LINGUS;DUBLIN;Europe;Large;Gates 91-102;2018-12-31;190,0000000000000;Clean;Very safe;Very satisfied
3047;Tuesday;AMERICAN;LOS ANGELES;West US;Hub;Gates 50-59;2018-12-31;70,0000000000000;Average;Somewhat safe;Somewhat satsified
2845;Tuesday;UNITED;SEATTLE;West US;Hub;Gates 70-90;2018-12-31;112,0000000000000;Clean;Very safe;Somewhat satsified
1957;Friday;CATHAY PACIFIC;HONG KONG;Asia;Hub;Gates 1-12;2018-12-31;185,0000000000000;Somewhat clean;Neutral;Somewhat satsified
1370;Tuesday;UNITED INTL;PARIS-DE GAULLE;Europe;Hub;Gates 91-102;2018-12-31;165,0000000000000;Somewhat clean;Very safe;Somewhat satsified
1427;Saturday;UNITED;KANSAS CITY;Midwest US;Medium;Gates 70-90;2018-12-31;59,9999999999999;Average;Somewhat safe;Neutral
1975;Friday;CATHAY PACIFIC;HONG KONG;Asia;Hub;Gates 1-12;2018-12-31;190,0000000000000;Somewhat clean;Very safe;Somewhat satsified
469;Sunday;ALASKA;PORTLAND;West US;Medium;Gates 50-59;2018-12-31;148,0000000000000;Clean;Very safe;Somewhat satsified
3087;Sunday;ALASKA;NEWARK;East US;Hub;Gates 50-59;2018-12-31;185,0000000000000;Somewhat clean;Very safe;Somewhat satsified
2686;Wednesday;AIR FRANCE/KLM;PARIS-DE GAULLE;Europe;Hub;Gates 1-12;2018-12-31;210,0000000000000;Average;Somewhat safe;Somewhat satsified
1830;Monday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;2018-12-31;135,0000000000000;Clean;Very safe;Very satisfied
318;Thursday;UNITED;BURBANK;West US;Small;Gates 70-90;2018-12-31;250,0000000000000;Somewhat clean;Somewhat safe;Somewhat satsified
2802;Tuesday;SOUTHWEST;PHOENIX;West US;Hub;Gates 20-39;2018-12-31;120,0000000000000;Clean;Very safe;Somewhat satsified
2182;Wednesday;QANTAS;SYDNEY;Australia/New Zealand;Hub;Gates 1-12;2018-12-31;885,0000000000000;Clean;Very safe;Somewhat satsified
2628;Tuesday;JETBLUE;NEW YORK-JFK;East US;Hub;Gates 1-12;2018-12-31;105,0000000000000;Somewhat clean;Very safe;NA
2521;Tuesday;JETBLUE;LONG BEACH;West US;Small;Gates 1-12;2018-12-31;75,0000000000000;Somewhat clean;Very safe;Somewhat satsified
291;Thursday;UNITED;SAN DIEGO;West US;Medium;Gates 70-90;2018-12-31;122,0000000000000;Somewhat clean;Somewhat safe;Very satisfied
2340;Wednesday;UNITED;AUSTIN;Midwest US;Medium;Gates 70-90;2018-12-31;285,0000000000000;Somewhat clean;Very safe;Somewhat satsified
1274;Tuesday;UNITED INTL;LONDON HEATHROW;Europe;Hub;Gates 91-102;2018-12-31;200,0000000000000;Somewhat clean;Very safe;Very satisfied
2356;Tuesday;JETBLUE;FT. LAUDERDALE;East US;Large;Gates 1-12;2018-12-31;131,0000000000000;Somewhat clean;Somewhat safe;Somewhat satsified
2034;Wednesday;UNITED;NEWARK;East US;Hub;Gates 70-90;2018-12-31;90,0000000000000;Somewhat clean;Very safe;Somewhat satsified
965;Friday;LUFTHANSA;MUNICH;Europe;Hub;Gates 91-102;2018-12-31;145,0000000000000;Somewhat clean;Very safe;Somewhat satsified
2835;Tuesday;UNITED;CHICAGO-O'HARE;Midwest US;Hub;Gates 70-90;2018-12-31;100,0000000000000;Clean;Very safe;Somewhat satsified
1197;Tuesday;SOUTHWEST;LAS VEGAS;West US;Hub;Gates 20-39;2018-12-31;105,0000000000000;Average;Very safe;Somewhat satsified
325;Thursday;UNITED;BURBANK;West US;Small;Gates 70-90;2018-12-31;55,0000000000001;Somewhat clean;Very safe;Somewhat satsified
846;Tuesday;ALASKA;PORTLAND;West US;Medium;Gates 50-59;2018-12-31;274,0000000000000;Somewhat clean;Somewhat safe;Somewhat satsified
2239;Thursday;SOUTHWEST;PHOENIX;West US;Hub;Gates 20-39;2018-12-31;94,9999999999999;Somewhat clean;Somewhat safe;Somewhat satsified
1329;Tuesday;UNITED INTL;SHANGHAI;Asia;Hub;Gates 91-102;2018-12-31;260,0000000000000;Clean;Very safe;Somewhat satsified
1588;Wednesday;UNITED INTL;HONG KONG;Asia;Hub;Gates 91-102;2018-12-31;120,0000000000000;Clean;Somewhat safe;Very satisfied
2683;Wednesday;AIR FRANCE/KLM;PARIS-DE GAULLE;Europe;Hub;Gates 1-12;2018-12-31;210,0000000000000;Somewhat clean;Very safe;Somewhat satsified
2844;Tuesday;UNITED;SEATTLE;West US;Hub;Gates 70-90;2018-12-31;157,0000000000000;Clean;Very safe;Somewhat satsified
2240;Thursday;SOUTHWEST;PHOENIX;West US;Hub;Gates 20-39;2018-12-31;110,0000000000000;Average;Somewhat safe;Somewhat satsified
1981;Friday;AIR FRANCE/KLM;AMSTERDAM;Europe;Hub;Gates 1-12;2018-12-31;175,0000000000000;Clean;Somewhat safe;Very satisfied
