"hours_studied","attendance","extracurricular_activities","sleep_hours","tutoring_sessions","exam_score"
17,86,"No",5,2,66
20,95,"Yes",7,2,68
34,77,"Yes",7,0,69
9,96,"Yes",4,0,67
24,100,"Yes",6,2,75
10,64,"No",7,0,60
17,69,"Yes",9,2,66
27,98,"Yes",7,1,73
20,98,"No",7,1,68
14,64,"Yes",6,0,62
16,61,"No",9,2,62
24,66,"Yes",8,1,65
16,100,"Yes",8,2,69
21,67,"No",7,3,64
20,80,"No",5,0,67
16,94,"Yes",9,0,70
33,61,"No",7,2,70
24,84,"No",7,3,69
8,71,"No",8,0,61
21,94,"No",7,0,69
16,71,"Yes",5,1,63
25,87,"Yes",7,0,67
15,87,"No",4,1,65
19,69,"Yes",7,3,66
23,61,"No",9,4,63
25,76,"Yes",4,2,68
13,72,"No",7,0,65
18,92,"Yes",8,1,67
17,92,"Yes",8,2,68
16,78,"No",6,0,64
31,84,"No",5,0,71
22,84,"Yes",6,0,69
12,93,"Yes",9,1,67
26,77,"No",4,2,65
33,71,"No",5,1,68
26,71,"Yes",6,1,67
11,81,"Yes",6,3,67
17,78,"Yes",7,2,66
28,78,"No",9,2,70
16,64,"Yes",5,3,65
23,89,"Yes",7,4,69
25,69,"Yes",7,1,65
14,68,"No",6,1,63
20,77,"No",5,2,67
1,69,"Yes",6,1,61
14,83,"Yes",6,0,65
18,75,"Yes",8,1,66
13,78,"Yes",8,0,66
30,81,"Yes",5,1,69
11,68,"No",6,2,63
17,66,"No",6,1,65
21,95,"No",10,0,67
29,77,"Yes",7,2,69
11,76,"Yes",5,4,65
27,61,"No",6,1,65
20,80,"Yes",6,0,65
14,82,"Yes",8,2,67
23,82,"Yes",8,1,66
21,88,"No",7,4,72
16,67,"No",7,3,66
20,70,"Yes",7,2,65
18,92,"Yes",7,1,69
21,98,"No",4,2,68
24,65,"No",7,1,64
30,80,"No",6,3,69
13,69,"Yes",5,0,59
33,62,"Yes",10,0,68
8,73,"No",7,0,60
19,66,"No",7,1,62
24,88,"Yes",6,0,67
22,81,"Yes",8,4,68
16,66,"Yes",5,3,64
19,60,"Yes",7,3,65
17,92,"Yes",6,2,65
16,67,"No",8,0,63
25,84,"Yes",6,2,70
22,73,"Yes",9,3,66
16,83,"Yes",7,4,68
25,73,"No",8,3,66
22,63,"No",8,3,63
25,69,"Yes",9,1,66
24,68,"Yes",6,1,65
15,77,"Yes",8,1,66
17,86,"Yes",4,2,67
24,71,"Yes",7,0,66
24,60,"No",6,4,63
20,81,"Yes",5,3,66
21,84,"No",6,1,67
28,99,"Yes",6,1,71
16,84,"Yes",7,1,67
23,79,"Yes",6,1,69
19,83,"Yes",7,2,67
19,97,"Yes",6,2,72
27,93,"No",6,2,70
25,73,"Yes",7,0,67
25,69,"Yes",7,0,64
28,71,"No",8,1,67
20,80,"No",8,3,69
24,90,"No",7,0,68
18,80,"No",8,2,63
22,63,"Yes",7,4,68
19,89,"Yes",7,0,70
21,92,"Yes",8,0,66
24,72,"No",6,0,68
15,87,"Yes",4,0,67
33,77,"Yes",5,0,69
14,96,"Yes",9,0,66
13,94,"Yes",7,3,68
27,81,"Yes",7,2,69
25,88,"Yes",7,1,70
24,95,"Yes",8,1,74
24,80,"Yes",7,0,70
20,73,"Yes",7,1,66
15,90,"Yes",8,1,69
20,69,"No",6,0,64
16,76,"Yes",8,1,62
26,95,"No",7,0,70
19,89,"Yes",7,2,68
15,76,"Yes",6,0,65
18,69,"No",7,3,65
22,74,"Yes",6,3,71
17,71,"Yes",9,2,66
15,67,"No",4,0,61
21,90,"Yes",8,2,67
21,70,"Yes",4,0,65
17,78,"No",8,0,65
17,75,"Yes",6,1,65
21,99,"No",8,4,73
11,76,"Yes",7,1,62
12,63,"Yes",5,0,60
16,64,"Yes",9,1,61
19,84,"Yes",8,2,67
22,84,"No",8,3,70
29,77,"No",6,1,69
25,77,"Yes",8,0,66
19,62,"No",5,2,64
20,81,"Yes",4,1,68
14,80,"Yes",5,1,67
20,66,"No",6,0,64
18,64,"Yes",6,2,65
22,65,"Yes",6,2,66
15,64,"Yes",6,2,63
23,84,"Yes",6,2,68
29,68,"Yes",4,1,66
19,70,"No",7,3,63
22,67,"No",7,1,63
24,98,"Yes",6,1,74
18,94,"Yes",9,1,70
21,69,"Yes",7,2,68
20,73,"Yes",7,0,66
21,68,"No",8,0,63
15,80,"No",5,4,67
20,61,"No",7,1,62
23,87,"No",8,1,71
29,81,"No",7,2,72
26,96,"Yes",5,1,72
33,67,"Yes",6,0,68
15,92,"Yes",7,1,66
25,92,"No",4,0,70
21,65,"Yes",5,2,66
33,76,"Yes",10,1,72
15,67,"Yes",8,0,64
15,70,"No",9,1,63
16,71,"No",8,0,61
7,82,"Yes",8,0,62
17,76,"No",7,1,68
15,98,"Yes",8,1,68
21,65,"No",9,1,63
22,99,"Yes",8,1,70
31,69,"Yes",7,1,68
26,91,"Yes",7,1,72
17,74,"Yes",8,4,67
15,66,"No",6,1,61
23,94,"No",8,0,69
12,72,"Yes",6,2,61
31,86,"Yes",6,3,75
27,83,"No",5,0,68
17,79,"Yes",6,1,65
10,80,"Yes",6,4,67
28,89,"Yes",10,3,75
19,64,"No",6,1,64
27,87,"No",8,1,70
10,96,"No",6,0,67
16,62,"Yes",7,2,63
20,66,"No",7,1,65
20,89,"Yes",4,1,67
17,77,"Yes",5,2,86
24,76,"No",6,3,67
14,65,"No",5,1,63
19,80,"No",7,0,66
21,65,"No",7,2,65
23,79,"No",5,1,67
24,91,"No",7,0,69
13,70,"No",6,2,66
11,79,"Yes",7,1,64
28,100,"Yes",6,1,73
22,87,"No",8,1,66
16,94,"No",9,1,68
29,77,"Yes",8,0,70
21,91,"No",9,2,69
27,62,"Yes",5,4,67
20,65,"No",6,0,62
32,68,"No",8,1,68
31,76,"Yes",9,1,72
19,94,"No",8,3,69
26,74,"No",5,3,66
24,86,"No",6,1,70
28,88,"No",8,0,71
14,83,"Yes",7,0,65
24,74,"Yes",6,3,70
26,83,"No",7,2,65
9,74,"No",7,1,62
13,63,"Yes",5,2,62
8,100,"Yes",8,1,70
18,65,"Yes",6,5,66
24,63,"Yes",7,4,67
29,95,"No",9,1,72
20,72,"Yes",7,0,66
30,86,"Yes",8,2,68
12,73,"No",5,1,62
10,76,"Yes",8,2,64
20,70,"No",8,0,65
22,74,"Yes",6,4,66
20,76,"No",7,2,64
8,89,"Yes",7,4,67
19,80,"Yes",7,4,69
12,98,"Yes",8,0,68
24,62,"No",6,2,64
22,80,"Yes",7,2,68
14,83,"Yes",9,1,64
17,97,"No",9,0,71
14,62,"Yes",8,3,61
20,83,"No",7,4,68
26,94,"Yes",10,2,73
14,70,"Yes",9,3,64
23,95,"Yes",7,3,72
17,61,"Yes",7,5,65
15,89,"Yes",6,1,68
19,97,"Yes",8,2,71
14,86,"Yes",8,3,65
17,78,"No",8,2,66
13,62,"No",7,4,63
32,97,"No",5,1,74
20,79,"Yes",7,2,66
16,61,"No",8,2,63
21,88,"Yes",6,2,72
19,79,"No",7,1,69
19,65,"Yes",9,1,67
24,69,"No",5,3,66
25,63,"No",7,0,64
17,83,"No",9,4,67
17,85,"No",7,4,69
18,80,"Yes",6,2,65
6,93,"No",7,0,64
11,94,"Yes",8,1,65
28,85,"Yes",7,2,72
30,61,"Yes",8,2,66
19,88,"No",7,2,66
23,77,"Yes",7,1,67
22,83,"Yes",8,1,69
38,86,"Yes",7,3,73
27,74,"No",6,3,69
19,97,"No",8,1,68
14,65,"Yes",7,1,61
10,87,"Yes",6,0,63
21,60,"Yes",8,0,63
15,97,"Yes",9,1,68
11,65,"No",7,2,63
16,64,"Yes",7,3,66
14,73,"Yes",5,2,65
30,75,"No",7,0,68
25,69,"Yes",7,0,66
20,83,"No",7,2,66
29,78,"No",6,2,70
20,61,"Yes",8,0,61
15,73,"Yes",7,2,61
29,92,"Yes",10,1,71
23,88,"Yes",7,1,67
14,89,"Yes",4,2,70
19,88,"No",5,2,69
15,72,"No",8,2,65
12,64,"Yes",6,0,61
26,71,"No",6,3,68
31,93,"Yes",5,2,74
12,99,"No",6,1,67
23,80,"Yes",7,5,70
16,60,"Yes",8,1,59
17,66,"No",5,0,64
16,73,"Yes",8,2,66
15,83,"Yes",5,1,63
20,63,"Yes",8,0,61
15,98,"Yes",8,2,68
22,75,"No",6,3,65
20,97,"No",5,1,69
19,91,"Yes",8,2,68
15,90,"Yes",6,2,69
17,84,"Yes",7,1,67
25,85,"No",8,1,70
23,86,"Yes",8,1,68
14,85,"No",6,0,67
21,82,"No",7,4,67
25,99,"Yes",6,0,75
10,89,"Yes",8,3,63
23,91,"No",9,1,70
16,95,"Yes",6,2,70
23,69,"Yes",7,1,64
15,63,"No",8,0,59
9,79,"No",7,1,63
10,81,"Yes",8,2,67
20,93,"Yes",7,0,68
22,78,"Yes",5,0,68
15,83,"No",7,2,97
24,81,"No",9,1,66
10,62,"No",7,3,61
20,85,"No",9,2,70
13,93,"Yes",4,1,65
16,66,"Yes",8,3,64
20,84,"Yes",6,2,69
15,84,"No",6,1,64
18,67,"Yes",9,2,61
26,65,"No",7,3,64
17,99,"No",6,0,68
25,76,"No",8,1,67
13,69,"No",4,3,62
23,67,"Yes",9,2,66
29,87,"Yes",10,1,72
5,84,"Yes",8,4,68
15,86,"Yes",8,4,71
23,64,"Yes",7,3,65
19,96,"Yes",5,2,68
22,76,"No",9,2,65
16,73,"Yes",8,1,64
21,78,"No",8,2,65
19,76,"Yes",8,0,65
27,95,"No",7,3,73
22,97,"Yes",6,1,72
22,72,"Yes",10,1,64
18,95,"Yes",7,0,69
17,91,"No",6,1,69
17,97,"Yes",9,0,70
22,70,"No",7,1,83
17,83,"No",7,3,68
22,71,"Yes",9,1,84
32,93,"Yes",8,1,75
25,60,"No",8,1,67
18,83,"Yes",5,0,69
27,74,"No",8,3,71
18,73,"Yes",5,1,66
8,86,"No",6,1,65
14,94,"No",7,1,70
9,84,"No",7,1,66
18,94,"Yes",8,3,74
20,71,"No",8,0,66
30,81,"No",8,0,68
22,78,"Yes",5,2,68
19,60,"No",10,0,62
25,82,"Yes",7,2,71
7,86,"No",9,2,63
21,84,"No",4,2,69
25,89,"Yes",7,3,71
11,83,"Yes",5,1,66
27,63,"No",6,0,64
22,65,"Yes",7,3,65
18,84,"No",6,4,69
24,71,"No",9,2,66
34,63,"Yes",10,1,67
21,77,"Yes",6,4,65
21,82,"Yes",6,3,65
17,73,"No",5,1,67
15,89,"Yes",9,1,66
25,86,"Yes",7,1,69
15,73,"No",7,1,64
20,90,"Yes",7,1,70
17,86,"Yes",7,3,68
23,85,"Yes",6,1,68
22,82,"Yes",7,1,69
26,60,"Yes",7,3,68
17,88,"Yes",8,5,70
18,75,"Yes",5,2,67
14,98,"Yes",7,3,72
17,93,"No",6,1,69
22,84,"No",7,1,69
25,70,"Yes",8,3,64
14,68,"Yes",6,2,63
25,74,"Yes",9,3,70
28,79,"Yes",4,0,70
22,72,"Yes",9,1,66
31,81,"No",9,1,70
15,67,"Yes",6,0,66
13,99,"Yes",6,1,68
9,64,"No",5,1,61
29,97,"No",8,1,72
24,97,"No",7,1,69
20,81,"Yes",6,0,63
22,89,"Yes",5,2,72
13,77,"Yes",10,1,65
35,85,"Yes",6,1,74
21,74,"Yes",7,1,62
21,72,"No",7,0,65
24,83,"No",6,1,68
23,80,"Yes",6,3,66
21,83,"Yes",6,3,71
15,71,"No",8,1,62
23,75,"Yes",6,1,65
31,63,"No",9,0,68
28,62,"No",6,4,70
30,70,"No",8,1,67
17,63,"No",4,2,63
14,64,"Yes",6,0,63
19,93,"No",6,0,69
20,62,"Yes",5,3,66
27,86,"Yes",7,2,70
10,71,"Yes",7,2,63
29,95,"Yes",4,0,72
19,79,"Yes",10,1,65
17,72,"Yes",7,2,67
14,81,"Yes",7,1,63
10,75,"No",9,3,65
25,83,"Yes",8,2,67
20,65,"Yes",7,0,80
12,100,"Yes",4,2,68
12,77,"Yes",8,2,63
18,74,"No",6,1,64
30,88,"No",9,3,73
18,75,"Yes",6,2,66
11,93,"Yes",6,2,66
19,78,"No",5,0,66
18,89,"Yes",5,4,69
4,64,"Yes",7,1,59
20,94,"No",7,0,68
19,89,"No",6,1,67
24,68,"Yes",10,1,64
31,66,"Yes",8,0,65
27,73,"No",7,1,68
18,99,"Yes",4,0,70
13,70,"No",8,2,62
35,78,"Yes",10,1,72
20,61,"Yes",7,1,62
20,76,"Yes",6,1,68
20,83,"No",7,3,69
21,98,"No",5,3,73
19,81,"No",8,3,69
17,93,"Yes",9,1,67
17,82,"No",6,2,65
20,62,"No",6,2,63
17,73,"Yes",7,2,66
16,83,"No",6,1,66
21,98,"No",5,0,70
18,94,"No",6,2,69
29,69,"No",6,1,70
4,69,"No",9,2,58
27,68,"No",9,3,67
27,97,"Yes",9,1,73
8,94,"No",8,0,66
18,91,"Yes",7,0,70
18,76,"No",6,1,67
12,80,"No",9,1,60
15,79,"No",8,1,65
13,70,"No",5,0,63
31,80,"Yes",6,1,72
26,61,"Yes",5,0,62
28,65,"Yes",4,6,70
24,95,"Yes",8,2,70
13,90,"No",5,0,64
17,77,"Yes",6,3,64
23,81,"Yes",7,0,67
13,75,"Yes",7,1,64
24,90,"Yes",6,1,72
19,91,"No",9,0,66
18,91,"No",5,2,66
24,89,"Yes",5,0,71
23,68,"No",8,5,66
18,74,"Yes",6,2,64
27,79,"No",6,0,66
14,73,"Yes",5,1,62
24,90,"No",8,4,70
24,73,"Yes",7,3,69
18,66,"No",7,2,65
22,76,"Yes",6,2,70
12,99,"Yes",6,0,70
26,69,"Yes",7,1,67
19,84,"Yes",8,2,69
17,77,"No",9,0,62
26,63,"Yes",9,1,67
16,80,"No",8,0,65
12,88,"No",8,0,65
11,81,"Yes",5,1,65
24,95,"Yes",6,3,69
12,72,"No",8,4,63
31,63,"Yes",7,3,66
8,97,"Yes",8,0,67
30,75,"No",8,1,69
21,83,"Yes",8,1,67
19,92,"Yes",5,1,70
17,73,"Yes",7,2,67
22,89,"No",6,2,70
20,65,"Yes",6,0,65
27,72,"No",4,0,63
21,66,"Yes",7,0,64
21,92,"Yes",4,1,69
18,69,"No",8,1,60
20,89,"Yes",9,3,69
22,98,"Yes",8,4,72
10,81,"Yes",7,1,63
12,82,"No",9,0,63
24,78,"Yes",7,0,66
21,73,"No",6,6,70
19,79,"Yes",7,1,68
20,84,"Yes",10,2,69
22,99,"Yes",5,0,72
17,98,"No",5,1,67
15,94,"No",8,1,68
21,96,"No",7,1,70
14,79,"Yes",6,5,68
22,86,"Yes",5,2,69
10,96,"No",4,1,68
26,76,"No",5,0,66
23,98,"No",9,1,72
22,77,"Yes",7,2,67
26,84,"No",4,3,70
30,88,"Yes",9,1,73
26,98,"Yes",9,1,73
9,70,"No",9,1,60
12,90,"No",6,2,67
16,81,"Yes",7,3,69
20,71,"No",7,1,65
23,91,"Yes",9,2,70
16,82,"Yes",6,3,68
21,86,"No",6,1,66
15,73,"Yes",8,1,65
16,79,"Yes",9,1,64
12,85,"Yes",7,1,67
14,76,"Yes",8,3,65
12,68,"Yes",7,1,64
14,98,"No",7,0,67
26,80,"Yes",6,2,70
14,89,"Yes",5,3,63
36,76,"No",6,1,71
23,74,"No",6,2,68
21,76,"No",7,0,67
15,76,"Yes",9,1,67
24,82,"Yes",7,0,68
17,82,"No",6,1,66
21,80,"Yes",8,0,68
35,65,"Yes",7,0,70
19,80,"No",8,5,67
27,67,"Yes",6,2,67
16,65,"No",9,2,62
20,97,"No",9,0,67
31,84,"No",7,4,70
16,86,"No",8,4,72
31,76,"Yes",9,2,70
24,96,"No",6,2,94
17,86,"No",7,2,66
24,91,"Yes",7,2,69
26,75,"No",5,0,68
24,98,"No",8,2,71
11,93,"No",9,4,69
16,94,"No",7,2,67
19,67,"Yes",8,2,64
20,71,"Yes",9,1,63
24,71,"Yes",6,2,66
21,71,"Yes",8,2,66
12,94,"Yes",6,3,69
22,61,"Yes",6,4,64
24,63,"No",8,1,62
23,71,"Yes",7,3,66
26,68,"Yes",8,4,70
25,69,"Yes",7,2,67
23,92,"No",8,0,68
20,83,"No",9,0,67
10,60,"No",9,0,62
23,77,"Yes",8,1,67
21,76,"Yes",8,0,68
22,65,"No",7,2,64
12,87,"Yes",7,2,64
14,88,"No",8,2,66
26,89,"Yes",7,2,72
20,89,"Yes",8,2,72
24,60,"Yes",9,2,66
20,98,"No",7,4,72
20,93,"Yes",4,1,69
26,96,"Yes",10,2,72
17,61,"Yes",6,1,60
21,97,"Yes",7,0,69
17,92,"No",8,0,68
17,93,"Yes",9,3,69
18,64,"Yes",10,1,62
21,90,"Yes",6,2,71
17,98,"Yes",9,1,70
28,87,"Yes",7,2,68
15,83,"Yes",10,1,68
19,98,"No",9,1,70
17,78,"No",7,0,65
29,84,"Yes",6,0,73
21,79,"No",4,0,66
26,97,"No",8,2,71
11,63,"Yes",9,2,62
22,80,"Yes",8,2,68
25,87,"No",4,1,70
20,92,"No",5,0,68
26,83,"Yes",8,2,71
17,96,"Yes",10,2,70
28,98,"Yes",7,1,72
34,63,"Yes",9,2,69
18,76,"No",5,1,63
17,61,"No",7,0,62
29,73,"No",7,2,68
29,81,"Yes",9,2,70
17,96,"Yes",6,1,69
17,94,"No",10,2,68
18,65,"Yes",7,2,65
12,64,"No",5,3,59
14,84,"No",5,3,66
14,81,"No",6,0,64
15,71,"No",8,5,63
20,96,"No",6,5,72
21,97,"Yes",6,0,67
29,76,"No",8,2,94
14,96,"Yes",4,2,70
26,75,"No",6,0,66
19,89,"Yes",5,4,69
20,79,"Yes",6,2,64
24,65,"No",7,1,63
13,97,"No",7,1,71
22,78,"No",7,1,65
21,89,"Yes",9,1,68
23,75,"No",7,1,64
22,61,"Yes",10,1,64
35,64,"Yes",8,2,66
16,80,"No",6,1,68
17,88,"No",10,3,67
16,73,"Yes",7,1,66
17,88,"Yes",10,2,68
16,88,"No",7,3,66
27,88,"No",7,3,71
29,80,"Yes",8,4,71
17,97,"No",7,0,68
15,80,"No",9,3,64
23,78,"Yes",10,3,67
17,68,"Yes",4,0,64
24,72,"Yes",8,3,68
21,62,"No",6,0,62
11,85,"Yes",4,0,64
29,70,"No",8,3,70
31,72,"No",8,0,68
16,91,"No",8,2,69
18,73,"Yes",8,3,65
22,70,"Yes",8,2,67
22,67,"No",6,2,65
24,91,"No",7,0,71
32,65,"Yes",8,2,65
19,78,"Yes",9,2,66
15,80,"No",7,0,65
12,87,"Yes",7,2,65
16,85,"No",7,1,68
20,92,"Yes",5,2,68
31,62,"No",8,0,67
17,72,"Yes",5,3,65
21,71,"No",8,2,66
20,66,"Yes",7,0,63
27,72,"Yes",5,1,70
35,72,"Yes",5,1,72
17,81,"No",6,2,67
17,87,"Yes",6,0,67
26,75,"Yes",9,1,66
24,89,"No",7,1,66
31,73,"Yes",8,2,69
24,72,"Yes",9,0,62
18,82,"No",9,2,66
24,61,"No",7,0,64
27,63,"Yes",6,1,67
25,77,"No",8,2,71
23,98,"Yes",6,1,73
26,89,"Yes",10,0,68
27,64,"Yes",8,2,66
28,94,"Yes",7,3,75
24,89,"Yes",8,1,72
19,84,"Yes",7,1,68
21,93,"Yes",6,1,68
27,76,"Yes",8,1,69
15,69,"Yes",7,1,63
22,80,"Yes",10,0,70
18,82,"Yes",6,1,66
20,82,"Yes",8,3,66
28,83,"No",6,1,72
21,98,"No",6,1,71
20,96,"No",4,3,72
12,95,"No",8,4,69
24,92,"Yes",6,2,71
24,98,"No",9,3,69
33,64,"No",8,1,68
18,71,"Yes",7,2,61
21,80,"No",5,2,68
21,94,"Yes",8,0,72
29,80,"Yes",6,0,70
19,90,"Yes",5,0,73
22,66,"No",8,3,67
24,70,"No",5,2,65
21,89,"No",4,1,68
17,67,"Yes",9,3,65
21,74,"No",6,1,97
26,71,"Yes",4,1,66
14,74,"Yes",6,2,67
21,88,"No",6,2,70
16,75,"Yes",9,3,66
27,82,"Yes",5,1,69
11,64,"Yes",5,2,62
17,92,"Yes",8,1,68
22,75,"Yes",6,1,67
29,86,"Yes",7,0,68
20,89,"Yes",6,1,69
17,68,"Yes",10,1,62
31,95,"Yes",5,2,75
11,85,"No",7,2,65
7,77,"No",9,2,63
23,67,"No",6,1,66
17,98,"No",6,3,71
14,90,"Yes",8,0,66
24,68,"No",9,2,66
21,74,"No",6,1,66
17,92,"Yes",9,1,71
12,88,"Yes",7,3,68
25,91,"No",8,1,71
24,78,"Yes",9,0,68
19,89,"No",8,2,68
31,75,"No",7,2,68
14,68,"Yes",6,2,62
11,85,"Yes",10,0,65
16,99,"No",6,2,71
20,72,"Yes",7,0,63
21,78,"No",8,1,68
19,87,"Yes",8,1,69
22,82,"No",10,1,69
12,94,"Yes",7,3,71
29,90,"No",7,0,71
20,62,"Yes",9,0,62
27,100,"Yes",7,2,70
22,90,"No",8,1,70
23,95,"Yes",7,2,73
23,86,"Yes",8,3,71
23,94,"Yes",8,2,69
24,64,"Yes",6,0,66
28,74,"Yes",4,1,65
21,95,"No",4,2,71
24,68,"Yes",4,2,68
19,63,"Yes",7,2,64
29,92,"Yes",4,2,71
16,93,"No",7,0,67
31,67,"No",7,2,66
20,94,"Yes",8,1,71
11,87,"No",8,0,62
21,81,"No",8,3,67
16,93,"Yes",8,3,67
25,77,"Yes",7,0,66
16,68,"Yes",7,1,64
17,71,"Yes",6,2,62
9,80,"No",7,1,65
17,81,"Yes",5,0,63
5,92,"Yes",9,2,64
10,92,"Yes",6,1,65
25,83,"No",7,0,68
25,91,"Yes",7,2,72
