
x,daysSinceFirstPurch, shoppingCartValue, gender, voucher, returned, boughtAgain
  87,27,112.  ,female,0,       1,0
  88,31,125.  ,female,0,       1,1
  89,30,187.  ,female,0,       0,1
  90,57,64.6 ,female,0,       0,0
  91,65,48.6 ,female,0,       0,0
  92,17,30.6 ,male,0,       0,1
  93,31,41.3 ,male,0,       1,1
  94,47,26.5 ,female,1,        0,0
  95,47,60.5 ,female,1,        0,0
  96,27,50.8 ,female,0,       0,0
  97,38,113.  ,male,0,       0,1
  98,43,33.8 ,female,0,       0,0
  99,32,36.6 ,female,1,        0,1
 100,22,124.  ,female,0,       0,1
 101,30,85.4 ,female,1,        0,1
 102,19,60.2 ,female,0,       0,1
 103,55,744.  ,female,1,        0,0
 104,38,85.4 ,male,0,       0,1
 105,16,56.5 ,male,0,       0,1
 106,37,35.2 ,female,1,        0,0
 107,74,65.6 ,male,0,       0,1
 108,40,50.7 ,female,0,       0,0
 109,34,49.4 ,male,0,       0,1
 110,41,70.9 ,male,0,       0,1
 111,31,125.  ,female,0,       1,0
 112,63,74.9 ,female,0,       0,1
 113,45,146.  ,male,0,       0,0
 114,25,24.8 ,female,0,       0,1
 115,51,161.  ,male,0,       0,1
 116,15,131.  ,male,0,       0,0
 117,27,85.1 ,male,0,       0,1
 118, 7,80.9 ,female,0,       0,1
 119,34,106.  ,male,0,       1,1
 120,65,44.9 ,female,0,       0,0
 121,12,41.5 ,female,0,       0,1
 122,40,27.6 ,male,0,       0,0
 123,20,420.  ,female,0,       1,1
 124,11,73.9 ,female,0,       0,0
 125,31,46.2 ,female,0,       0,1
 126,88,235.  ,female,1,        0,0
 127,26,50.2 ,female,0,       1,0
 128,51,69.8 ,male,0,       0,1
 129,38,67.9 ,female,0,       1,0
 130,71,420.  ,female,0,       0,1
 131,51,41.9 ,female,0,       0,1
 132,18,60.5 ,male,0,       1,0
 133,50,79.6 ,female,0,       1,1
 134,29,57.2 ,female,0,       0,1
 135,41,47.8 ,female,0,       0,1
 136,24,128.  ,female,0,       0,0
 137,18,217.  ,female,0,       1,1
 138,48,48.2 ,female,0,       0,0
 139,61,36.6 ,male,0,       0,0
 140,51,167.  ,female,1,        0,0
 141,66,181.  ,male,0,       1,1
 142,48,83.6 ,male,0,       0,0
 143,13,121.  ,female,0,       1,0
 144,27,192.  ,male,0,       0,0
 145,56,37.7 ,male,0,       0,0
 146,20,73.0 ,male,0,       0,1
 147,23,57.5 ,female,0,       0,1
 148, 3,54.7 ,female,0,       0,1
 149, 7,55.1 ,male,0,       0,0
 150,16,44.5 ,female,0,       0,1
 151,32,40.7 ,male,0,       0,1
 152,32,154.  ,male,0,       1,1
 153,12,52.7 ,male,0,       0,1
 154,36,82.0 ,male,1,        0,1
 155,28,111.  ,female,0,       0,1
 156,12,35.7 ,female,0,       0,1
 157,29,63.6 ,female,0,       0,0
 158,52,145.  ,female,0,       0,1
 159,46,52.7 ,female,0,       0,1
 160,39,76.0 ,male,0,       0,0
 161,31,120.  ,male,1,        0,1
 162,49,97.7 ,male,0,       0,1
 163,59,82.5 ,male,0,       0,1
 164,20,114.  ,male,0,       0,1
 165,31,110.  ,female,0,       0,1
 166,13,111.  ,female,0,       0,0
 167,31,48.9 ,male,0,       0,0
 168,48,61.9 ,female,0,       0,0
 169,44,69.8 ,female,0,       0,0
 170,42,48.2 ,female,0,       0,1
 171, 7,54.1 ,male,0,       0,1
 172,30,118.  ,female,0,       0,1
 173,48,44.9 ,female,0,       0,1
 174,54,30.2 ,male,0,       0,0
 175,40,62.5 ,female,1,        0,1
 176,12,104.  ,female,0,       0,1
 177,24,76.1 ,female,0,       0,0
 178,54,62.5 ,male,0,       1,1
 179,36,120.  ,male,0,       1,1
 180,16,82.7 ,female,0,       0,1
 181,39,104.  ,female,0,       0,1
 182,24,65.0 ,female,0,       0,1
 183,11,54.2 ,male,0,       0,1
 184,16,130.  ,female,0,       1,0
 185,23,161.  ,female,0,       0,0
 186,26,18.5 ,male,0,       0,0
 187,18,106.  ,female,0,       0,1
 188, 6,43.2 ,female,1,        0,0
 189,38,82.1 ,female,0,       0,1
 190,43,69.5 ,female,0,       0,0
 191,52,151.  ,male,0,       0,1
 192,23,66.0 ,female,0,       0,1
 193,16,63.9 ,female,1,        0,0
 194,40,139.  ,male,0,       0,1
 195,29,67.3 ,female,0,       0,1
 196,49,66.7 ,female,0,       1,0
 197,46,57.3 ,male,0,       0,1
 198, 8,90.3 ,male,0,       0,1
 199,27,71.6 ,female,0,       0,0
 200,43,32.8 ,female,0,       0,1
 201,14,108.  ,male,0,       0,0
 202,42,39.0 ,female,0,       1,0
 203,25,62.9 ,female,0,       0,0
 204,37,87.8 ,female,0,       0,1
 205,12,80.8 ,male,0,       1,0
 206,28,81.4 ,female,0,       0,1
 207,11,62.4 ,female,0,       0,0
 208,69,66.1 ,female,0,       1,0
 209,39,59.6 ,male,1,        0,0
 210, 8,44.2 ,female,0,       0,1
 211, 8,67.6 ,male,0,       0,1
 212,20,105.  ,female,0,       1,0
 213,29,103.  ,female,0,       0,1
 214,13,56.4 ,female,0,       0,0
 215, 5,97.3 ,female,1,        0,0
 216,56,57.2 ,female,0,       0,1
 217,48,37.0 ,female,0,       0,0
 218, 8,35.8 ,male,1,        0,1
 219,11,51.0 ,female,0,       0,0
 220,63,50.0 ,female,0,       0,1
 221,66,86.7 ,female,0,       0,0
 222,53,82.4 ,female,0,       0,0
 223, 8,95.0 ,female,0,       1,1
 224,54,91   ,male,1,        0,1
 225,17,57.8 ,female,0,       0,0
 226,46,233.  ,male,0,       0,1
 227,30,40.2 ,female,1,        0,0
 228,27,69.0 ,male,0,       1,1
 229,54,43.3 ,male,0,       1,0
 230,71,72.0 ,female,1,        0,0
 231,20,58.3 ,male,0,       1,0
 232,17,151.  ,male,0,       1,1
 233,32,120.  ,female,0,       0,1
 234,14,42.8 ,female,0,       0,1
 235,53,24.6 ,female,0,       0,0
 236,64,174.  ,male,0,       0,1
 237,25,61.4 ,male,0,       0,1
 238,71,41.9 ,female,0,       0,1
 239,27,46.9 ,male,0,       0,1
 240,46,138.  ,male,1,        0,1
 241,18,142.  ,female,0,       0,1
 242,22,34.8 ,male,1,        0,1
 243,57,35.8 ,female,0,       0,0
 244,55,89.5 ,female,0,       0,1
 245,76,58.4 ,female,0,       0,1
 246,65,95.1 ,male,0,       1,1
 247,57,91.3 ,female,0,       1,1
 248,39,100.  ,female,1,        1,1
 249,20,42.8 ,female,0,       0,0
 250,49,111.  ,male,0,       0,0
 251,21,118.  ,female,0,       0,1
 252,26,57.2 ,female,1,        0,1
 253,29,60.4 ,female,0,       1,0
 254,34,42.7 ,female,0,       1,1
 255,38,46.2 ,female,1,        0,0
 256,27,60.1 ,male,0,       1,0
 257,38,85.4 ,male,0,       0,1
 258,37,92.0 ,male,1,        0,1
 259,27,64.2 ,male,0,       0,1
 260,10,92.8 ,female,0,       1,1
 261,13,275.  ,female,1,        1,0
 262,49,57.2 ,female,0,       0,1
 263,13,94.5 ,male,0,       0,1
 264,53,86.9 ,female,0,       0,1
 265,23,113.  ,female,0,       0,1
 266,23,55.8 ,female,0,       0,1
 267,16,66.8 ,female,0,       0,1
 268,59,86.0 ,female,0,       1,1
 269,19,66.7 ,female,1,        1,0
 270,13,48.5 ,female,0,       0,0
 271,30,102.  ,female,0,       0,1
 272,72,286.  ,female,0,       1,1
 273,39,114.  ,female,0,       1,0
 274,28,33.4 ,female,0,       0,0
 275,12,93.8 ,female,1,        0,0
 276,19,53.5 ,female,0,       0,0
 277,30,144.  ,female,0,       0,1
 278,53,43.2 ,male,0,       0,1
 279,37,71.9 ,female,0,       0,1
 280,30,90.9 ,female,0,       0,1
 281,28,66.4 ,female,0,       1,1
 282,32,148.  ,female,0,       0,1
 283,47,79.0 ,male,0,       0,1
 284,25,95.9 ,male,0,       0,1
 285,38,69.5 ,female,0,       1,0
 286,32,137.  ,female,1,        0,1
 287,41,79.6 ,female,1,        1,0
 288,13,51.2 ,female,0,       0,0
 289,71,24.8 ,male,0,       0,0
 290,29,124.  ,male,0,       0,0
 291,38,58.2 ,male,1,        1,0
 292,21,60.2 ,female,1,        1,1
 293,55,64.6 ,female,0,       1,1
 294,32,105.  ,female,0,       0,1
 295,24,40.3 ,female,0,       0,0
 296,48,90.7 ,female,0,       0,1
 297,45,23.8 ,male,0,       0,0
 298,18,79.3 ,male,0,       0,1
 299,29,86.0 ,female,0,       0,1
 300,36,37.2 ,female,0,       0,0
 301, 8,92.7 ,female,0,       0,0
 302,74,120.  ,male,0,       0,1
 303,19,147.  ,female,0,       0,1
 304,34,57.6 ,male,1,        0,0
 305,43,94.8 ,male,0,       0,1
 306,51,70.2 ,female,0,       0,0
 307,49,215.  ,male,0,       1,0
 308, 8,41.9 ,female,0,       0,1
 309,40,38.0 ,female,0,       0,1
 310,12,96.4 ,female,0,       1,0
 311,68,75.1 ,male,0,       0,1
 312,29,115.  ,male,1,        0,0
 313,67,129.  ,male,0,       0,1
 314,27,75.6 ,female,0,       1,1
 315,21,54.5 ,female,0,       0,0
 316,42,47.9 ,female,0,       0,1
 317,44,119.  ,female,0,       0,1
 318,27,73.5 ,female,0,       1,0
 319,11,99.8 ,female,0,       1,1
 320,33,70.4 ,male,0,       0,0
 321,45,71.1 ,female,0,       0,0
 322,48,40.8 ,female,0,       0,1
 323,36,46.7 ,female,0,       0,0
 324,27,32.6 ,female,0,       0,0
 325,56,133.  ,female,1,        0,1
 326,56,101.  ,male,0,       0,1
 327,32,73.8 ,female,0,       0,1
 328,41,82.4 ,female,1,        1,0
 329,34,73.7 ,female,0,       0,1
 330,40,98.7 ,female,1,        1,1
 331,36,70.8 ,female,1,        1,1
 332,22,95.0 ,female,0,       0,1
 333,23,77.0 ,female,0,       0,0
 334,20,72.5 ,male,0,       0,1
 335,48,82.3 ,female,1,        0,1
 336, 6,79.3 ,male,0,       0,1
 337,18,38.8 ,male,0,       0,1
 338,57,116.  ,female,0,       0,0
 339,21,68.9 ,female,0,       0,0
 340,25,41.9 ,female,1,        0,0
 341,72,92.7 ,female,0,       1,1
 342,28,80.7 ,female,0,       0,1
 343,37,55.4 ,male,0,       1,1
 344,64,113.  ,female,0,       0,0
 345,60,110.  ,female,1,        1,0
 346,19,85.2 ,female,0,       0,1
 347,15,57.5 ,female,0,       1,0
 348,50,49.5 ,female,0,       0,0
 349,59,90.8 ,female,0,       0,0
 350,42,80.5 ,female,0,       0,1
 351,57,68.9 ,female,0,       0,0
 352,34,64.5 ,female,0,       0,0
 353,22,53.7 ,female,1,        0,1
 354,48,75.5 ,female,0,       1,1
 355,36,35.6 ,female,0,       1,1
 356,20,86.6 ,male,0,       0,0
 357,52,122.  ,female,0,       0,1
 358,64,230.  ,male,0,       1,1
 359,90,92.0 ,male,0,       0,0
 360,21,156.  ,female,0,       0,1
 361,27,61.1 ,female,0,       0,0
 362,19,69.9 ,female,0,       1,1
 363,39,61.5 ,female,0,       0,0
 364,11,63.6 ,female,0,       1,0
 365, 5,71.0 ,female,0,       0,1
 366,31,101.  ,male,0,       0,1
 367,24,130.  ,male,1,        1,0
 368,35,128.  ,male,0,       0,1
 369,44,136.  ,female,0,       0,0
 370,12,41.2 ,male,1,        1,0
 371,81,54.1 ,female,1,        0,0
 372,47,66.5 ,female,0,       1,0
 373,48,106.  ,female,0,       0,1
 374,57,73.6 ,female,0,       0,1
 375,16,155.  ,male,0,       0,1
 376,42,30.2 ,male,0,       1,0
 377,19,84.2 ,female,0,       1,0
 378,60,59.0 ,female,0,       0,1
 379,25,76.9 ,female,0,       0,1
 380,47,81.8 ,female,0,       0,1
 381,52,95.8 ,male,0,       0,1
 382,16,38.6 ,male,0,       0,1
 383,24,56.1 ,female,1,        0,1
 384,27,59.7 ,female,0,       0,0
 385,21,112.  ,female,0,       1,1
 386,22,175.  ,male,1,        1,0
 387,32,125.  ,male,0,       0,1
 388,38,90.0 ,female,0,       0,1
 389,39,71.2 ,female,1,        0,1
 390,31,66.1 ,female,0,       0,0
 391,   101,159.  ,male,0,       0,1
 392,19,82.5 ,female,0,       0,1
 393,28,51.1 ,female,1,        0,0
 394,47,117.  ,male,0,       1,1
 395,23,40.0 ,male,0,       0,1
 396,18,67.8 ,female,0,       1,0
 397,47,48.8 ,male,1,        0,1
 398,34,50.7 ,female,0,       0,1
 399,25,85.1 ,female,0,       0,0
 400,93,144.  ,male,0,       1,0
 401,38,90.6 ,male,0,       1,0
 402,27,81.4 ,female,1,        0,1
 403,12,35.6 ,female,1,        0,0
 404,25,97.1 ,female,0,       0,0
 405,32,90.0 ,female,1,        0,1
 406,36,78.8 ,male,0,       1,1
 407,43,55.9 ,male,0,       0,0
 408,30,134.  ,male,0,       0,1
 409,14,87.4 ,female,0,       0,0
 410,41,23.7 ,male,1,        0,0
 411,65,58.5 ,male,0,       1,1
 412,50,50.6 ,female,0,       0,0
 413,65,61.3 ,female,0,       1,0
 414,29,89.6 ,female,0,       0,1
 415,13,58.0 ,female,1,        0,0
 416,33,122.  ,female,0,       0,1
 417,33,50.0 ,male,1,        0,1
 418,24,78.0 ,female,1,        0,1
 419,11,124.  ,female,0,       0,1
 420, 7,82.1 ,male,1,        0,0
 421,29,59.1 ,female,0,       0,0
 422,20,98.4 ,male,0,       0,1
 423,47,78.8 ,female,0,       0,1
 424,73,118.  ,female,0,       1,1
 425,38,56.8 ,female,0,       0,0
 426,52,131.  ,male,0,       0,1
 427,44,43.8 ,female,0,       0,0
 428,36,54.4 ,female,1,        1,0
 429,41,111.  ,male,1,        0,0
 430,39,53.3 ,female,0,       0,0
 431,20,26.8 ,female,0,       0,1
 432,46,162.  ,female,1,        0,1
 433,38,182.  ,female,0,       0,1
 434, 9,39.7 ,female,1,        0,0
 435,61,45.8 ,female,0,       0,0
 436,62,126.  ,female,0,       0,0
 437,18,67.0 ,male,0,       0,0
 438,23,88.1 ,male,0,       0,1
 439,53,47.4 ,female,1,        0,0
 440,27,82.9 ,male,0,       1,1
 441,24,47.6 ,female,0,       0,1
 442,32,75.3 ,female,0,       0,0
 443,16,62.1 ,male,1,        0,1
 444,22,57.4 ,female,0,       0,1
 445,36,65.0 ,female,0,       0,1
 446,53,109.  ,female,1,        0,0
 447,26,43.7 ,male,0,       1,1
 448,34,103.  ,male,0,       1,0
 449,85,104.  ,female,0,       0,0
 450,52,94.5 ,male,0,       0,1
 451,27,78.6 ,female,0,       0,1
 452,63,75.8 ,female,0,       0,0
 453,18,70.0 ,female,0,       0,1
 454,47,91   ,male,0,       0,1
 455,46,132.  ,female,0,       0,1
 456,37,124.  ,female,0,       0,1
 457,39,108.  ,male,1,        0,1
 458,22,56.1 ,female,0,       0,0
 459,10,69.0 ,female,0,       1,0
 460,14,143.  ,female,1,        0,1
 461,21,191.  ,male,0,       0,0
 462,43,39.8 ,male,0,       0,1
 463,75,93.1 ,male,0,       0,1
 464,24,76.5 ,male,0,       1,1
 465,20,96.1 ,female,0,       0,1
 466,29,23.6 ,male,0,       0,1
 467,15,37.1 ,male,0,       0,1
 468,11,51.8 ,female,0,       0,0
 469,38,68.3 ,female,0,       0,0
 470,34,68.6 ,male,0,       0,1
 471, 6,43.6 ,female,0,       0,1
 472,67,212.  ,female,0,       0,1
 473,15,92.0 ,female,1,        0,1
 474,24,76.5 ,female,0,       1,0
 475,21,62.7 ,female,0,       0,0
 476,60,126.  ,female,0,       0,0
 477, 7,49.8 ,female,0,       1,0
 478,50,84.2 ,female,0,       0,0
 479,21,79.8 ,female,0,       0,0
 480,11,38.2 ,female,0,       1,1
 481,33,85.7 ,female,0,       1,0
 482,31,96.6 ,female,0,       0,1
 483,25,82.4 ,female,0,       0,1
 484,37,87   ,female,0,       1,0
 485,15,98.5 ,female,0,       0,1
 486,45,120.  ,male,0,       0,1
 487,56,73.9 ,female,0,       0,0
 488,31,111.  ,female,0,       0,0
 489,55,89.6 ,male,0,       0,1
 490,33,37.5 ,female,0,       1,0
 491,43,88.2 ,female,0,       0,1
 492,69,84.0 ,female,0,       1,1
 493,23,38.4 ,male,0,       0,1
 494,38,52.6 ,female,1,        0,1
 495,45,41.9 ,male,0,       0,1
 496,47,57.4 ,male,0,       0,1
 497,26,110.  ,female,0,       1,1
 498,15,55.5 ,male,1,        0,1
 499,26,71.9 ,female,1,        1,0
 500,31,72.5 ,female,0,       0,1
 501,16,67.6 ,female,0,       0,1
 502,10,63   ,female,0,       0,0
 503,31,134.  ,male,0,       0,1
 504,39,66.4 ,female,0,       0,0
 505,43,100.  ,female,0,       0,1
 506, 9,61.7 ,female,0,       0,1
 507,26,45.5 ,female,0,       0,0
 508,23,110.  ,female,1,        0,0
 509,51,108.  ,female,0,       1,0
 510,14,145.  ,male,0,       0,0
 511,12,65.5 ,female,0,       1,0
 512,34,46.6 ,female,0,       1,0
 513,25,183.  ,female,0,       1,1
 514,39,99.7 ,female,0,       0,0
 515,26,87.0 ,female,0,       0,1
 516,13,70.4 ,female,0,       0,0
 517,31,68.6 ,female,1,        0,1
 518,31,125.  ,female,0,       0,0
 519, 6,38.9 ,male,0,       0,0
 520,51,64.9 ,female,0,       0,0
 521,20,65.3 ,female,0,       1,0
 522,16,36   ,male,0,       0,0
 523,29,79.9 ,female,0,       0,0
 524, 8,65.9 ,female,1,        0,1
 525,25,93.1 ,male,0,       0,0
 526,25,115.  ,male,1,        0,1
 527,19,95.8 ,male,0,       0,1
 528,46,55.8 ,female,0,       0,0
 529,26,94.2 ,female,0,       1,1
 530,   102,254.  ,female,0,       0,0
 531,48,73.0 ,female,0,       0,0
 532,51,52.9 ,female,0,       0,1
 533,19,36.4 ,female,1,        0,1
 534,45,208.  ,male,0,       1,0
 535,44,150.  ,male,1,        0,1
 536,15,38.2 ,female,0,       0,0
 537,54,33.3 ,male,0,       0,1
 538, 3,34.5 ,female,0,       1,0
 539,29,44.7 ,male,0,       0,0
 540,96,127.  ,female,1,        0,0
 541,37,116.  ,male,0,       0,1
 542,30,85.9 ,female,0,       1,0
 543,15,119.  ,male,0,       0,0
 544,18,67.3 ,male,0,       0,0
 545,36,65.5 ,female,0,       0,0
 546,27,61.7 ,male,0,       0,1
 547,19,50.6 ,male,1,        0,1
 548,54,80.8 ,female,1,        0,1
 549,38,165.  ,female,0,       0,1
 550,47,30.2 ,male,1,        1,0
 551,26,47.7 ,female,0,       0,1
 552,16,60.5 ,female,0,       0,1
 553,27,63.8 ,female,0,       0,1
 554, 9,93.0 ,male,0,       1,1
 555,27,73.9 ,male,0,       0,1
 556,28,40.2 ,female,0,       0,1
 557,35,66.2 ,female,1,        0,0
 558,62,53.8 ,female,0,       0,1
 559,30,72.6 ,female,0,       1,0
 560,34,121.  ,male,0,       0,1
 561,16,41.4 ,male,1,        0,0
 562,42,58.6 ,male,1,        0,1
 563,23,95.4 ,male,0,       0,1
 564,49,116.  ,male,0,       0,1
 565,37,74.6 ,female,0,       0,0
 566,73,48.6 ,female,1,        0,0
 567,17,48.8 ,female,0,       0,1
 568, 9,64.6 ,male,1,        0,1
 569,25,56.1 ,female,0,       0,1
 570,11,81.1 ,female,0,       0,0
 571,14,48.4 ,male,0,       0,1
 572,82,137.  ,female,0,       0,0
 573,23,59.0 ,male,0,       0,1
 574,45,132.  ,male,0,       0,1
 575,48,137.  ,female,0,       0,0
 576,20,96.9 ,male,0,       1,1
 577,82,102.  ,female,0,       0,1
 578, 9,52.5 ,female,0,       0,1
 579, 7,106.  ,female,0,       0,1
 580,23,135.  ,female,1,        0,1
 581,27,66.0 ,female,0,       0,0
 582,27,68.2 ,female,0,       0,0
 583,54,63.9 ,female,0,       1,0
 584,27,108.  ,female,0,       1,1
 585, 7,96.0 ,male,0,       0,1
 586,53,121.  ,female,0,       0,1
 587,11,42.2 ,male,0,       0,1
 588,91,196.  ,male,0,       0,1
 589,33,125.  ,male,0,       0,1
 590,31,51.9 ,female,1,        1,1
 591,25,114.  ,male,0,       0,1
 592,44,57.8 ,female,1,        0,1
 593,38,29.2 ,female,0,       1,0
 594, 7,115.  ,male,0,       0,1
 595,33,32.7 ,male,1,        0,0
 596,26,49.0 ,female,0,       0,0
 597,25,90.3 ,male,0,       0,1
 598,27,131.  ,female,0,       0,1
 599,42,95.0 ,female,0,       1,0
 600,53,78.1 ,female,0,       0,1
 601,56,131.  ,female,0,       1,0
 602,30,88.9 ,female,0,       0,0
 603,34,260.  ,male,0,       1,0
 604,18,25.3 ,male,0,       1,0
 605,25,116.  ,female,0,       1,0
 606,32,135.  ,male,0,       0,0
 607, 5,55.1 ,male,0,       1,0
 608,33,161.  ,male,0,       1,0
 609, 7,109.  ,male,1,        0,1
 610,48,70.2 ,female,0,       0,1
 611,44,121.  ,male,1,        1,1
 612,27,57.1 ,female,1,        0,1
 613, 9,81.6 ,female,0,       0,1
 614,89,136.  ,male,0,       0,1
 615,12,42.9 ,female,0,       0,1
 616,19,87.4 ,female,0,       0,1
 617,52,93.2 ,male,0,       0,1
 618,25,80.2 ,male,0,       0,1
 619,30,39.9 ,female,0,       0,1
 620,56,50.9 ,female,1,        0,0
 621,26,39.3 ,male,0,       1,0
 622,35,69.3 ,female,0,       0,0
 623,22,50.1 ,male,0,       1,1
 624,30,71.8 ,male,0,       0,0
 625,27,160.  ,male,0,       0,1
 626,22,65.0 ,male,1,        0,1
 627,16,90.4 ,female,0,       0,1
 628,22,125.  ,male,0,       0,1
 629,39,91.7 ,female,0,       1,1
 630,82,57.9 ,male,0,       0,1
 631,66,51.5 ,female,0,       0,1
 632,53,180.  ,male,0,       1,0
 633,49,58.5 ,female,1,        1,0
 634,23,160.  ,female,0,       0,1
 635,23,118.  ,female,0,       1,0
 636,34,132.  ,male,0,       0,1
 637,56,54.5 ,female,1,        1,0
 638,41,46.6 ,male,1,        0,0
 639,49,63.6 ,female,0,       0,0
 640,38,135.  ,female,0,       1,0
 641,30,65.8 ,female,0,       0,1
 642,77,44.7 ,male,0,       0,1
 643,52,65.3 ,female,0,       1,0
 644,27,64.5 ,female,0,       0,0
 645,31,55.2 ,female,0,       0,0
 646,18,81.5 ,male,0,       1,0
 647,44,54.8 ,male,0,       0,0
 648,30,117.  ,female,1,        0,1
 649,48,107.  ,male,0,       0,1
 650,41,53.1 ,female,0,       0,1
 651,16,26.5 ,female,1,        0,0
 652,49,69.2 ,male,0,       0,1
 653,25,146.  ,female,0,       0,1
 654,48,91.8 ,female,0,       1,1
 655,52,41.8 ,female,0,       0,1
 656,12,46.3 ,female,0,       0,1
 657,49,36.4 ,female,0,       0,0
 658,21,67.4 ,male,0,       1,1
 659,56,33.4 ,female,0,       1,1
 660,31,76.7 ,female,1,        1,0
 661,41,55.6 ,male,1,        1,0
 662,15,85.3 ,female,1,        0,0
 663,20,108.  ,male,0,       0,1
 664, 9,94.7 ,female,0,       0,1
 665,68,124.  ,male,0,       0,0
 666,62,194.  ,male,0,       0,1
 667,31,166.  ,female,0,       0,1
 668,63,112.  ,female,0,       0,0
 669,48,41.1 ,female,0,       0,0
 670,18,71.9 ,female,0,       1,1
 671,57,42.1 ,female,1,        0,0
 672,20,136.  ,female,0,       0,1
 673,59,224.  ,female,1,        1,0
 674,60,73.9 ,female,1,        1,0
 675,25,43.9 ,female,0,       0,1
 676,28,140.  ,female,1,        1,1
 677,67,87.4 ,female,1,        1,0
 678,18,94.4 ,female,0,       1,1
 679,14,38.2 ,female,0,       0,1
 680,29,76.8 ,female,1,        0,0
 681,43,69.1 ,female,1,        0,0
 682, 9,157.  ,female,0,       0,1
 683,35,40.5 ,female,1,        0,0
 684,28,101.  ,female,0,       0,1
 685,30,101.  ,male,1,        0,1
 686,54,41.4 ,female,0,       0,1
 687,55,77.4 ,female,0,       0,1
 688,52,79.3 ,female,0,       0,0
 689,61,204.  ,female,0,       0,0
 690,28,64.9 ,female,0,       0,1
 691,39,35.6 ,female,1,        0,1
 692, 9,46.5 ,female,1,        0,1
 693,68,95.8 ,male,0,       0,1
 694,16,65.4 ,female,0,       0,0
 695,37,46.0 ,female,0,       0,0
 696,29,58.8 ,male,0,       0,0
 697,66,117.  ,male,0,       0,1
 698,40,25.0 ,female,0,       0,1
 699,35,114.  ,male,0,       1,1
 700,28,208   ,female,0,       0,1
 701,26,53.0 ,female,0,       0,0
 702,34,54.2 ,female,0,       1,1
 703,15,33.5 ,female,0,       0,1
